"dist","LidarLeft","LidarRight","time","video_time","USLeft","USRight","USRear","CO","SO","NO","O3","P10","P25","lon","lat"
0,1,1,2017-07-22 03:49:09,2017-07-22 00:02:00,320.04,81.28,320.04,NA,NA,NA,NA,NA,NA,-84.3890516666667,33.7771133333333
1,5071,1,2017-07-22 03:49:11,2017-07-22 00:02:02,320.04,101.955129181792,208.450802624963,784,834,782,800,23.2,20.9,-84.389028333332,33.7770923333339
2,2091,351.553438993586,2017-07-22 03:49:13,2017-07-22 00:02:04,320.04,166.956523198675,320.04,NA,NA,NA,NA,NA,NA,-84.38898,33.77706
3,2144.08433611959,1216.23398849962,2017-07-22 03:49:17,2017-07-22 00:02:08,320.04,162.56,640.08,782,795,756,802,23,20.8,-84.3889866666667,33.7770683333333
4,1984.54497774644,1583.13129354444,2017-07-22 03:49:20,2017-07-22 00:02:11,320.04,159.204582801923,640.283854299519,NA,NA,NA,NA,NA,NA,-84.3890028333333,33.7770731666666
5,2062.53647813151,328.312012440442,2017-07-22 03:49:22,2017-07-22 00:02:13,640.08,322.58,640.08,NA,NA,NA,NA,NA,NA,-84.3890416666667,33.7770783333333
6,2024.94226625693,1149.90861389061,2017-07-22 03:49:23,2017-07-22 00:02:14,640.08,320.528551749206,640.08,NA,NA,NA,NA,NA,NA,-84.3890483333333,33.7770733333333
7,2072.41962287324,170,2017-07-22 03:49:24,2017-07-22 00:02:15,640.08,150.453113167665,640.08,786,310,1029,1294,22.9,20.7,-84.3890733333333,33.7770733333333
8,2060,1209.60256136566,2017-07-22 03:49:25,2017-07-22 00:02:16,640.08,158.489494131211,640.08,NA,NA,NA,NA,NA,NA,-84.3890933333333,33.7770716666667
9,1872,427.560207213094,2017-07-22 03:49:26,2017-07-22 00:02:17,642.019195967185,176.735175803109,642.019195967185,NA,NA,NA,NA,NA,NA,-84.3891133333333,33.7770716666667
10,1872,460,2017-07-22 03:49:26,2017-07-22 00:02:17,640.08,187.392841137397,640.08,782,766,802,822,23,20.7,-84.389115,33.7770713333334
11,1872,1193.3584612355,2017-07-22 03:49:27,2017-07-22 00:02:18,640.08,385.229430607749,640.08,NA,NA,NA,NA,NA,NA,-84.3891216666667,33.77707
12,1826,1257.76228609795,2017-07-22 03:49:27,2017-07-22 00:02:18,640.08,396.445760771299,641.83742392287,NA,NA,NA,NA,NA,NA,-84.3891266666667,33.7770700000002
13,1826,1303.16568870277,2017-07-22 03:49:28,2017-07-22 00:02:19,640.08,426.707452851896,640.08,NA,NA,NA,NA,NA,NA,-84.3891383333333,33.77707
14,1849.52374600306,1349,2017-07-22 03:49:28,2017-07-22 00:02:19,640.08,452.244366675139,640.08,NA,NA,NA,NA,NA,NA,-84.3891383333333,33.77707
15,1861,535.327200619811,2017-07-22 03:49:29,2017-07-22 00:02:20,640.08,343.473970121543,640.08,NA,NA,NA,NA,NA,NA,-84.3891511666666,33.777071166667
16,1861,318,2017-07-22 03:49:29,2017-07-22 00:02:20,640.08,302.241350498171,640.08,784,748,836,881,23,20.7,-84.3891566666667,33.7770716666667
17,1396.07542282075,318,2017-07-22 03:49:29,2017-07-22 00:02:20,640.08,309.744689524918,640.08,NA,NA,NA,NA,NA,NA,-84.3891566666667,33.7770716666667
18,1272,318,2017-07-22 03:49:30,2017-07-22 00:02:21,640.08,338.083896824815,640.08,NA,NA,NA,NA,NA,NA,-84.3891765,33.7770716666674
19,1446.1178552661,1346.05238022332,2017-07-22 03:49:30,2017-07-22 00:02:21,632.388533002158,364.668667494604,640.08,NA,NA,NA,NA,NA,NA,-84.389185,33.7770716666667
20,1524.03490858331,790.931171903783,2017-07-22 03:49:30,2017-07-22 00:02:21,637.382489040214,410.018067461122,640.08,789,294,1018,1281,22.9,20.7,-84.389185,33.7770716666667
21,1495.69005263663,471,2017-07-22 03:49:30,2017-07-22 00:02:21,640.08,429.605133311939,640.08,NA,NA,NA,NA,NA,NA,-84.389185,33.7770716666667
22,1505.12978930842,471,2017-07-22 03:49:31,2017-07-22 00:02:22,640.08,438.804533124958,640.08,NA,NA,NA,NA,NA,NA,-84.3892060000005,33.7770686666679
23,1516,469.83928735743,2017-07-22 03:49:31,2017-07-22 00:02:22,567.848852252866,447.856420224256,641.554105056064,NA,NA,NA,NA,NA,NA,-84.38922,33.7770666666667
24,1516,476.757862510495,2017-07-22 03:49:31,2017-07-22 00:02:22,513.430558802594,453.214720598703,642.62,NA,NA,NA,NA,NA,NA,-84.38922,33.7770666666667
25,1522.19582484627,572.896662641524,2017-07-22 03:49:31,2017-07-22 00:02:22,512.686008424028,457.52134456537,642.62,783,968,714,635,23,20.7,-84.3892263333332,33.7770670000007
26,1538,898.595281290335,2017-07-22 03:49:32,2017-07-22 00:02:23,535.465055519198,490.05653929883,642.62,NA,NA,NA,NA,NA,NA,-84.3892516666667,33.7770683333333
27,1538.60264944186,1469.75069965769,2017-07-22 03:49:32,2017-07-22 00:02:23,640.219157234757,642.62,642.62,NA,NA,NA,NA,NA,NA,-84.3892516666667,33.7770683333333
28,1548.64398317907,249.272226326262,2017-07-22 03:49:32,2017-07-22 00:02:23,642.53779247953,642.62,642.62,NA,NA,NA,NA,NA,NA,-84.3892516666667,33.7770683333333
29,1530.50984952348,172.541632471057,2017-07-22 03:49:33,2017-07-22 00:02:24,555.399318752183,219.935160106733,642.62,782,827,815,787,23,20.7,-84.3892850000001,33.7770670000011
30,1528,159.835988664968,2017-07-22 03:49:33,2017-07-22 00:02:24,556.756011048806,153.134277822282,642.62,NA,NA,NA,NA,NA,NA,-84.3892933333333,33.7770666666667
31,1528,1102.53618734693,2017-07-22 03:49:33,2017-07-22 00:02:24,608.282950436127,139.259978933778,641.105711276254,NA,NA,NA,NA,NA,NA,-84.3892933333333,33.7770666666667
32,1561.31261530873,1163.18042543721,2017-07-22 03:49:33,2017-07-22 00:02:24,640.08,277.295992517442,641.223433011948,NA,NA,NA,NA,NA,NA,-84.3892933333333,33.7770666666667
33,1602.6083285828,451.350028503225,2017-07-22 03:49:33,2017-07-22 00:02:24,633.126804298644,451.569690799397,641.847422699849,NA,NA,NA,NA,NA,NA,-84.3893098333326,33.7770681666693
34,1604,441.932739975187,2017-07-22 03:49:34,2017-07-22 00:02:25,620.269695520904,441.450304479096,640.08,788,468,900,995,23,20.7,-84.3893483333333,33.7770716666667
35,1604,436.169940429507,2017-07-22 03:49:34,2017-07-22 00:02:25,636.736895222684,424.983104777316,640.08,NA,NA,NA,NA,NA,NA,-84.3893483333333,33.7770716666667
36,1604,1578.6219199271,2017-07-22 03:49:34,2017-07-22 00:02:25,640.08,412.89060338369,640.08,NA,NA,NA,NA,NA,NA,-84.3893483333333,33.7770716666667
37,1604,2427,2017-07-22 03:49:34,2017-07-22 00:02:25,640.08,408.643764875415,640.08,NA,NA,NA,NA,NA,NA,-84.3893579999994,33.7770730000015
38,1604,2397.30286353671,2017-07-22 03:49:35,2017-07-22 00:02:26,640.08,417.31711772487,640.08,NA,NA,NA,NA,NA,NA,-84.3893966666667,33.7770783333333
39,1604,952.585371325368,2017-07-22 03:49:35,2017-07-22 00:02:26,640.08,577.716544009238,640.08,782,815,787,800,23,20.7,-84.3893966666667,33.7770783333333
40,1642.01458135047,369.670970608812,2017-07-22 03:49:35,2017-07-22 00:02:26,640.08,642.62,640.08,782,815,787,800,23,20.7,-84.3893966666667,33.7770783333333
41,1696.31342678197,372,2017-07-22 03:49:35,2017-07-22 00:02:26,640.08,603.496598238238,640.08,NA,NA,NA,NA,NA,NA,-84.3893966666667,33.7770783333333
42,1704.0316843897,372,2017-07-22 03:49:35,2017-07-22 00:02:26,640.08,373.590753897311,640.08,NA,NA,NA,NA,NA,NA,-84.3893966666667,33.7770783333333
43,1708.61360999883,372,2017-07-22 03:49:36,2017-07-22 00:02:27,640.08,318.943141638224,641.407713879408,NA,NA,NA,NA,NA,NA,-84.389422499999,33.7770816666693
44,1711,359.665898955164,2017-07-22 03:49:36,2017-07-22 00:02:27,640.08,359.850250846863,642.079851437002,NA,NA,NA,NA,NA,NA,-84.3894483333333,33.777085
45,1711,321.096178327841,2017-07-22 03:49:36,2017-07-22 00:02:27,640.08,476.397306659701,640.390763671599,787,331,1051,1270,23.1,20.8,-84.3894483333333,33.777085
46,1711,298.805876131284,2017-07-22 03:49:36,2017-07-22 00:02:27,640.08,497.84,640.08,NA,NA,NA,NA,NA,NA,-84.3894483333333,33.777085
47,1730.72603410425,504.647514860793,2017-07-22 03:49:36,2017-07-22 00:02:27,640.08,446.681049656788,640.08,NA,NA,NA,NA,NA,NA,-84.3894593333328,33.777086000002
48,1793.90057651107,1204.88744280167,2017-07-22 03:49:37,2017-07-22 00:02:28,640.08,282.839536412653,640.08,NA,NA,NA,NA,NA,NA,-84.3894923333328,33.777089000002
49,1785.96388360911,894.414822786018,2017-07-22 03:49:37,2017-07-22 00:02:28,640.08,237.705476855986,640.08,NA,NA,NA,NA,NA,NA,-84.3895033333333,33.77709
50,1767.30947416628,518,2017-07-22 03:49:37,2017-07-22 00:02:28,640.08,272.756549842018,640.08,NA,NA,NA,NA,NA,NA,-84.3895033333333,33.77709
51,1761.95108160626,518,2017-07-22 03:49:37,2017-07-22 00:02:28,640.08,420.768748331119,640.08,784,956,695,645,23.1,20.8,-84.3895033333333,33.77709
52,1761,518,2017-07-22 03:49:38,2017-07-22 00:02:29,640.08,553.388413314214,640.08,NA,NA,NA,NA,NA,NA,-84.38953,33.7770900000029
53,1761,749.748586183299,2017-07-22 03:49:38,2017-07-22 00:02:29,640.08,594.670519884427,640.08,NA,NA,NA,NA,NA,NA,-84.3895566666667,33.77709
54,1761,1453.03760968568,2017-07-22 03:49:38,2017-07-22 00:02:29,640.08,456.866059222161,640.08,NA,NA,NA,NA,NA,NA,-84.3895566666667,33.77709
55,1761,989.1986551588,2017-07-22 03:49:38,2017-07-22 00:02:29,640.08,551.041591581341,640.08,NA,NA,NA,NA,NA,NA,-84.3895566666667,33.77709
56,1761,693.776002967998,2017-07-22 03:49:38,2017-07-22 00:02:29,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.3895566666667,33.77709
57,1761,1155.93736126956,2017-07-22 03:49:38,2017-07-22 00:02:29,640.08,642.62,640.08,784,730,827,869,23.2,20.9,-84.3895566666667,33.77709
58,1761,1390.78511216695,2017-07-22 03:49:39,2017-07-22 00:02:30,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.3895833333326,33.7770925000029
59,1771.34476844048,1516,2017-07-22 03:49:39,2017-07-22 00:02:30,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.38961,33.777095
60,1800.27463641168,1516,2017-07-22 03:49:39,2017-07-22 00:02:30,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.38961,33.777095
61,1807,1516,2017-07-22 03:49:39,2017-07-22 00:02:30,640.08,642.62,641.306074807229,NA,NA,NA,NA,NA,NA,-84.38961,33.777095
62,1807,1425.81363343255,2017-07-22 03:49:39,2017-07-22 00:02:30,640.08,642.336493352622,642.336493352622,NA,NA,NA,NA,NA,NA,-84.3896153333331,33.777095500001
63,1807,917.654213416642,2017-07-22 03:49:40,2017-07-22 00:02:31,640.08,640.739061512473,640.739061512473,789,348,936,1117,23.2,20.9,-84.3896473333327,33.7770985000024
64,1807,708,2017-07-22 03:49:40,2017-07-22 00:02:31,640.08,641.03597056087,640.08,789,348,936,1117,23.2,20.9,-84.3896633333333,33.7771
65,1807,708,2017-07-22 03:49:40,2017-07-22 00:02:31,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.3896633333333,33.7771
66,1807,708,2017-07-22 03:49:40,2017-07-22 00:02:31,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.3896633333333,33.7771
67,1807,708,2017-07-22 03:49:40,2017-07-22 00:02:31,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.3896633333333,33.7771
68,1807,708,2017-07-22 03:49:40,2017-07-22 00:02:31,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.3896633333333,33.7771
69,1818.5979391791,1396.33769027958,2017-07-22 03:49:40,2017-07-22 00:02:31,640.08,642.62,640.08,782,775,861,895,23.2,20.9,-84.3896633333333,33.7771
70,1831.41206156473,1895,2017-07-22 03:49:40,2017-07-22 00:02:31,640.08,642.62,640.08,782,775,861,895,23.2,20.9,-84.3896746666661,33.7771010000021
71,1844.22618395036,1895,2017-07-22 03:49:41,2017-07-22 00:02:32,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.3897086666661,33.7771040000021
72,1847,1499.46770984157,2017-07-22 03:49:41,2017-07-22 00:02:32,640.08,642.62,640.08,NA,NA,NA,NA,NA,NA,-84.38972,33.777105
73,1847,973.887919812335,2017-07-22 03:49:41,2017-07-22 00:02:32,640.08,573.64550096014,640.08,NA,NA,NA,NA,NA,NA,-84.38972,33.777105
74,1847,378.938895882824,2017-07-22 03:49:41,2017-07-22 00:02:32,640.08,274.355235480795,640.08,NA,NA,NA,NA,NA,NA,-84.38972,33.777105
75,1847,186.563841852763,2017-07-22 03:49:41,2017-07-22 00:02:32,640.08,173.368633224075,640.08,NA,NA,NA,NA,NA,NA,-84.3897406666676,33.7771023333359
76,1847,186,2017-07-22 03:49:42,2017-07-22 00:02:33,640.08,167.64,640.08,784,729,849,874,23.2,20.9,-84.3897716666667,33.7770983333333
77,1847,186,2017-07-22 03:49:42,2017-07-22 00:02:33,640.08,167.64,640.08,NA,NA,NA,NA,NA,NA,-84.3897716666667,33.7770983333333
78,1853.66770635926,176.503569730755,2017-07-22 03:49:42,2017-07-22 00:02:33,640.08,161.481463944541,640.593211337955,NA,NA,NA,NA,NA,NA,-84.3897716666667,33.7770983333333
79,1872.34091024894,149.908400554545,2017-07-22 03:49:42,2017-07-22 00:02:33,640.08,144.234213806437,642.030482182797,NA,NA,NA,NA,NA,NA,-84.3897716666667,33.7770983333333
80,1884.00513241404,136.663672758475,2017-07-22 03:49:42,2017-07-22 00:02:33,640.927753027639,132.073481834166,642.62,NA,NA,NA,NA,NA,NA,-84.3897716666667,33.7770983333333
81,1890.79538837393,132.70269011521,2017-07-22 03:49:42,2017-07-22 00:02:33,642.365023872481,123.449856765114,642.62,NA,NA,NA,NA,NA,NA,-84.3897716666667,33.7770983333333
82,1563.37792502756,132,2017-07-22 03:49:42,2017-07-22 00:02:33,641.437705282677,117.190821130708,642.62,NA,NA,NA,NA,NA,NA,-84.3897903333386,33.7770823333354
83,1186,160.872642349225,2017-07-22 03:49:43,2017-07-22 00:02:34,640.08,112.100783046315,642.551843390737,784,1016,552,425,23.3,21,-84.3898183333333,33.7770583333333
84,1186,682.42752027562,2017-07-22 03:49:43,2017-07-22 00:02:34,640.08,118.25668169842,641.320663660316,NA,NA,NA,NA,NA,NA,-84.3898183333333,33.7770583333333
85,1186,1203.98239820201,2017-07-22 03:49:43,2017-07-22 00:02:34,640.08,124.412580350526,640.089483929895,NA,NA,NA,NA,NA,NA,-84.3898183333333,33.7770583333333
86,1186,1163.74960092582,2017-07-22 03:49:43,2017-07-22 00:02:34,640.08,241.742796850512,640.08,NA,NA,NA,NA,NA,NA,-84.3898183333333,33.7770583333333
87,1186,1119.15568943026,2017-07-22 03:49:43,2017-07-22 00:02:34,640.08,359.936050970933,640.08,NA,NA,NA,NA,NA,NA,-84.3898183333333,33.7770583333333
88,1503.99331280551,907.457643301771,2017-07-22 03:49:43,2017-07-22 00:02:34,640.08,366.011889477263,641.224055261368,NA,NA,NA,NA,NA,NA,-84.3898183333333,33.7770583333333
89,1846.20311189104,683.033936536045,2017-07-22 03:49:43,2017-07-22 00:02:34,640.08,363.549530016421,642.455234991789,NA,NA,NA,NA,NA,NA,-84.3898183333333,33.7770583333333
90,1607.76269018252,653,2017-07-22 03:49:43,2017-07-22 00:02:34,640.08,361.087170555579,641.55358527779,NA,NA,NA,NA,NA,NA,-84.3898396666724,33.7770430000027
91,1279.60966754667,653,2017-07-22 03:49:44,2017-07-22 00:02:35,640.08,358.624811094737,640.322405547369,786,816,767,769,23.4,21.1,-84.3898663333355,33.7770238333344
92,1496.97986509608,653,2017-07-22 03:49:44,2017-07-22 00:02:35,640.08,355.126414344976,640.08,786,816,767,769,23.4,21.1,-84.3898716666667,33.77702
93,1848.0892490622,653,2017-07-22 03:49:44,2017-07-22 00:02:35,640.08,351.37402513625,640.08,NA,NA,NA,NA,NA,NA,-84.3898716666667,33.77702
94,1928,850.408261629317,2017-07-22 03:49:44,2017-07-22 00:02:35,640.08,460.657834754114,640.08,NA,NA,NA,NA,NA,NA,-84.3898716666667,33.77702
95,1928,1105.98437702682,2017-07-22 03:49:44,2017-07-22 00:02:35,640.08,603.248624685715,640.08,NA,NA,NA,NA,NA,NA,-84.3898716666667,33.77702
96,1928,1163.96468047527,2017-07-22 03:49:44,2017-07-22 00:02:35,640.08,641.00771416331,641.00771416331,NA,NA,NA,NA,NA,NA,-84.3898886666706,33.7770115000027
97,1928,1153.13101084378,2017-07-22 03:49:45,2017-07-22 00:02:36,640.08,642.258510566219,642.258510566219,NA,NA,NA,NA,NA,NA,-84.389917000003,33.7769973333354
