"results.sensor","date","time","USLeft","USRight","USRear","LidarLeft","LidarRight","O3","SO","NO","CO","P10","P25","id","lon","lat","video_time","way","speed","seq","dist","adjustedLidarLeft","adjustedLidarRight"
"proximity",220717,2017-07-22 03:49:09,320.04,81.28,320.04,1,1,NA,NA,NA,NA,NA,NA,723,-84.3890516666667,33.7771133333333,2017-07-22 00:02:00,"go",1.01,"2017-07-22 00:02:00_723",0,1,1
"proximity",220717,2017-07-22 03:49:09,320.04,83.82,320.04,1,1,NA,NA,NA,NA,NA,NA,724,-84.3890516666667,33.7771133333333,2017-07-22 00:02:00,"go",1.01,"2017-07-22 00:02:00_724",0.155615573115559,1,1
"proximity",220717,2017-07-22 03:49:09,320.04,83.82,320.04,1,1,NA,NA,NA,NA,NA,NA,725,-84.3890516666667,33.7771133333333,2017-07-22 00:02:00,"go",1.01,"2017-07-22 00:02:00_725",0.311231146231118,1,1
"proximity",220717,2017-07-22 03:49:10,320.04,83.82,640.08,1,1,1152,355,989,790,23.3,21,726,-84.3890433333333,33.7771033333333,2017-07-22 00:02:01,"go",0.95,"2017-07-22 00:02:01_726",0.466846719346677,1,1
"proximity",220717,2017-07-22 03:49:10,320.04,83.82,640.08,1,1,NA,NA,NA,NA,NA,NA,727,-84.3890433333333,33.7771033333333,2017-07-22 00:02:01,"go",0.95,"2017-07-22 00:02:01_727",0.613217802970222,1,1
"proximity",220717,2017-07-22 03:49:10,320.04,86.36,640.08,1,1,NA,NA,NA,NA,NA,NA,728,-84.3890433333333,33.7771033333333,2017-07-22 00:02:01,"go",0.95,"2017-07-22 00:02:01_728",0.759588886593768,1,1
"proximity",220717,2017-07-22 03:49:10,320.04,88.9,190.5,5071,1,NA,NA,NA,NA,NA,NA,729,-84.3890433333333,33.7771033333333,2017-07-22 00:02:01,"go",0.95,"2017-07-22 00:02:01_729",0.905959970217313,5071,1
"proximity",220717,2017-07-22 03:49:11,320.04,109.22,218.44,1,1,800,834,782,784,23.2,20.9,730,-84.3890183333333,33.777085,2017-07-22 00:02:02,"go",0.91,"2017-07-22 00:02:02_730",1.05233105384086,5071,1
"proximity",220717,2017-07-22 03:49:11,320.04,406.4,238.76,1,1,NA,NA,NA,NA,NA,NA,731,-84.3890183333333,33.777085,2017-07-22 00:02:02,"go",0.91,"2017-07-22 00:02:02_731",1.19253914446973,5071,1
"proximity",220717,2017-07-22 03:49:11,320.04,309.88,256.54,1,1,NA,NA,NA,NA,NA,NA,732,-84.3890183333333,33.777085,2017-07-22 00:02:02,"go",0.91,"2017-07-22 00:02:02_732",1.3327472350986,5071,1
"proximity",220717,2017-07-22 03:49:12,320.04,127,320.04,1,1552,NA,NA,NA,NA,NA,NA,733,-84.3889833333333,33.7770633333333,2017-07-22 00:02:03,"go",0.65,"2017-07-22 00:02:03_733",1.47295532572747,5071,1552
"proximity",220717,2017-07-22 03:49:12,320.04,144.78,320.04,3303,0,869,708,900,785,23,20.8,734,-84.3889833333333,33.7770633333333,2017-07-22 00:02:03,"go",0.65,"2017-07-22 00:02:03_734",1.57310396189095,3303,1552
"proximity",220717,2017-07-22 03:49:12,320.04,322.58,320.04,1,1343,NA,NA,NA,NA,NA,NA,735,-84.3889833333333,33.7770633333333,2017-07-22 00:02:03,"go",0.65,"2017-07-22 00:02:03_735",1.67325259805443,3303,1343
"proximity",220717,2017-07-22 03:49:12,320.04,154.94,320.04,1,0,NA,NA,NA,NA,NA,NA,736,-84.3889833333333,33.7770633333333,2017-07-22 00:02:03,"go",0.65,"2017-07-22 00:02:03_736",1.7734012342179,3303,1343
"proximity",220717,2017-07-22 03:49:13,320.04,152.4,320.04,1,376,NA,NA,NA,NA,NA,NA,737,-84.38898,33.77706,2017-07-22 00:02:04,"go",0.47,"2017-07-22 00:02:04_737",1.87354987038138,3303,376
"proximity",220717,2017-07-22 03:49:13,320.04,157.48,320.04,2091,362,407,1033,577,782,23,20.8,738,-84.38898,33.77706,2017-07-22 00:02:04,"go",0.47,"2017-07-22 00:02:04_738",1.94596503806882,2091,362
"proximity",220717,2017-07-22 03:49:13,320.04,170.18,320.04,1,348,NA,NA,NA,NA,NA,NA,739,-84.38898,33.77706,2017-07-22 00:02:04,"go",0.47,"2017-07-22 00:02:04_739",2.01838020575626,2091,348
"proximity",220717,2017-07-22 03:49:14,320.04,177.8,320.04,2027,356,NA,NA,NA,NA,NA,NA,740,-84.3889733333333,33.7770566666667,2017-07-22 00:02:05,"go",0.52,"2017-07-22 00:02:05_740",2.0907953734437,2027,356
