"dist","LidarLeft","LidarRight","time","video_time","USLeft","USRight","USRear","CO","SO","NO","O3","P10","P25","lon","lat","LLgaussian","LRgaussian","SLgaussian","SRgaussian","left_class","right_class"
0,1,1,2017-07-22 03:49:09,2017-07-22 00:02:00,320.04,81.28,320.04,NA,NA,NA,NA,NA,NA,-84.3890516666667,33.7771133333333,NA,NA,NA,NA,"stop-car","bike"
1,5071,1,2017-07-22 03:49:11,2017-07-22 00:02:02,320.04,101.955129181792,208.450802624963,784,834,782,800,23.2,20.9,-84.389028333332,33.7770923333339,3731.65298991212,59.324559054917,320.04,109.330067104182,"stop-car","car"
2,2091,351.553438993586,2017-07-22 03:49:13,2017-07-22 00:02:04,320.04,166.956523198675,320.04,NA,NA,NA,NA,NA,NA,-84.38898,33.77706,2595.64005427654,437.093141884265,320.04,155.410201095696,"people","trashcan"
3,2144.08433611959,1216.23398849962,2017-07-22 03:49:17,2017-07-22 00:02:08,320.04,162.56,640.08,782,795,756,802,23,20.8,-84.3889866666667,33.7770683333333,2108.70832251801,1133.4135536995,320.04,162.733217665725,"bike","car"
4,1984.54497774644,1583.13129354444,2017-07-22 03:49:20,2017-07-22 00:02:11,320.04,159.204582801923,640.283854299519,NA,NA,NA,NA,NA,NA,-84.3890028333333,33.7770731666666,2024.06500824103,1313.31250337446,373.287778522798,186.945010694836,"nothing","people"
5,2062.53647813151,328.312012440442,2017-07-22 03:49:22,2017-07-22 00:02:13,640.08,322.58,640.08,NA,NA,NA,NA,NA,NA,-84.3890416666667,33.7770783333333,2043.30549948259,673.782994303535,586.832221477202,295.056524518366,"stop-car","wall"
6,2024.94226625693,1149.90861389061,2017-07-22 03:49:23,2017-07-22 00:02:14,640.08,320.528551749206,640.08,NA,NA,NA,NA,NA,NA,-84.3890483333333,33.7770733333333,2039.09634711429,850.176859378262,640.08,292.572970497961,"posts","stop-car"
7,2072.41962287324,170,2017-07-22 03:49:24,2017-07-22 00:02:15,640.08,150.453113167665,640.08,786,310,1029,1294,22.9,20.7,-84.3890733333333,33.7770733333333,2062.45405263813,506.003261418452,640.08,180.087092418475,"nothing","wall"
8,2060,1209.60256136566,2017-07-22 03:49:25,2017-07-22 00:02:16,640.08,158.489494131211,640.08,NA,NA,NA,NA,NA,NA,-84.3890933333333,33.7770716666667,2030.78719836834,906.519993534469,640.402640536723,160.188102377027,"stop-car","bike"
9,1872,427.560207213094,2017-07-22 03:49:26,2017-07-22 00:02:17,642.019195967185,176.735175803109,642.019195967185,NA,NA,NA,NA,NA,NA,-84.3891133333333,33.7770716666667,1903.27915998715,563.072533706677,641.373914893738,175.472692946677,"people","bike"
10,1872,460,2017-07-22 03:49:26,2017-07-22 00:02:17,640.08,187.392841137397,640.08,782,766,802,822,23,20.7,-84.389115,33.7770713333334,1872,576.61780408713,640.402640536724,218.535391745236,"parallel","posts"
11,1872,1193.3584612355,2017-07-22 03:49:27,2017-07-22 00:02:18,640.08,385.229430607749,640.08,NA,NA,NA,NA,NA,NA,-84.3891216666667,33.77707,1864.34658851378,1082.05878519691,640.08,354.179829822111,"stop-car","people"
12,1826,1257.76228609795,2017-07-22 03:49:27,2017-07-22 00:02:18,640.08,396.445760771299,641.83742392287,NA,NA,NA,NA,NA,NA,-84.3891266666667,33.7770700000002,1833.65341148622,1254.60102414253,640.08,399.614499720322,"bike","wall"
13,1826,1303.16568870277,2017-07-22 03:49:28,2017-07-22 00:02:19,640.08,426.707452851896,640.08,NA,NA,NA,NA,NA,NA,-84.3891383333333,33.77707,1829.91384582301,1303.2373826492,640.08,425.921351282664,"parallel","stop-car"
14,1849.52374600306,1349,2017-07-22 03:49:28,2017-07-22 00:02:19,640.08,452.244366675139,640.08,NA,NA,NA,NA,NA,NA,-84.3891383333333,33.77707,1847.51930222698,1205.99648710123,640.08,429.898516415988,"tree","bike"
