"results.sensor","date","time","USLeft","USRight","USRear","LidarLeft","LidarRight","O3","SO","NO","CO","P10","P25"
"proximity","220717",2017-07-22 03:45:30,640.08,45.72,642.62,995,76,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:30,640.08,43.18,640.08,1041,1666,941,537,869,790,24.1,21.7
"proximity","220717",2017-07-22 03:45:31,640.08,38.1,640.08,1063,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:31,640.08,35.56,640.08,728,3317,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:31,640.08,38.1,640.08,729,1935,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:32,640.08,33.02,640.08,2048,83,866,795,857,786,24.3,21.9
"proximity","220717",2017-07-22 03:45:32,640.08,30.48,640.08,2071,2437,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:32,640.08,22.86,640.08,2025,2439,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:33,548.64,22.86,640.08,768,1366,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:33,640.08,27.94,640.08,2041,1,1285,304,1024,789,24.4,22
"proximity","220717",2017-07-22 03:45:33,640.08,25.4,640.08,2043,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:33,640.08,22.86,640.08,2008,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:34,640.08,22.86,640.08,1908,1,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:34,640.08,38.1,640.08,893,1,724,894,761,784,24.4,22
"proximity","220717",2017-07-22 03:45:34,640.08,322.58,642.62,713,793,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:35,642.62,38.1,642.62,646,786,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:35,642.62,43.18,642.62,655,800,NA,NA,NA,NA,NA,NA
"proximity","220717",2017-07-22 03:45:35,523.24,53.34,642.62,657,785,760,846,747,782,24.4,22
