"course","speed","day","left_class","right_class","time","lon","lat","seq","way","video_time","USRight","USLeft","USRear","LidarRight","LidarLeft","CO","SO","O3","NO","P10","P25"
139.78,1.59,220717,"nothing","nothing","7/22/17 3:46",-84.38951667,33.77762,1,"go","7/21/17 23:59",163.4066667,299.72,640.9266667,1019.333333,410,783,825,799,797,25.2,22.7
112.53,1.57,220717,"nothing","nothing","7/22/17 3:46",-84.38950667,33.77762,2,"go","7/21/17 23:59",162.56,120.65,640.08,771.75,376.5,787,353,1227,1021,25.1,22.6
110.71,1.52,220717,"nothing","nothing","7/22/17 3:46",-84.38949167,33.77764,3,"go","7/21/17 23:59",164.2533333,487.68,640.08,1,1,784,856,750,756,25.1,22.6
119.17,1.5,220717,"nothing","nothing","7/22/17 3:46",-84.389495,33.77760667,4,"go","7/21/17 23:59",162.56,575.31,641.985,634,1,785,692,928,884,25,22.5
125.08,1.46,220717,"nothing","nothing","7/22/17 3:46",-84.38949,33.77759833,5,"go","7/21/17 23:59",160.8666667,574.04,640.08,1,1,NA,NA,NA,NA,NA,NA
124.8,1.44,220717,"nothing","nothing","7/22/17 3:46",-84.38948,33.77758833,6,"go","7/21/17 23:59",160.02,574.8866667,640.08,1,1,783,993,446,553,25,22.4
125.8,1.46,220717,"nothing","nothing","7/22/17 3:46",-84.38946833,33.777575,7,"go","7/21/17 23:59",162.56,573.405,640.08,1,1,783,746,826,783,24.9,22.3
127.69,1.48,220717,"nothing","nothing","7/22/17 3:46",-84.38946,33.777565,8,"go","7/21/17 23:59",162.56,571.5,640.08,1,1,788,254,1310,1059,24.8,22.2
131.38,1.53,220717,"nothing","nothing","7/22/17 3:46",-84.38944833,33.77755,9,"go","7/21/17 23:59",163.195,572.135,640.715,641,1,783,877,736,759,24.9,22.3
138.83,1.54,220717,"nothing","nothing","7/22/17 3:46",-84.389445,33.77754167,10,"go","7/21/17 23:59",161.29,574.675,640.715,1,1,783,726,855,800,24.9,22.3
149.37,1.36,220717,"nothing","nothing","7/22/17 3:47",-84.38944333,33.777535,11,"go","7/21/17 23:59",161.7133333,573.1933333,640.08,1,1,790,548,898,854,24.9,22.3
171.04,1.43,220717,"nothing","nothing","7/22/17 3:47",-84.38945333,33.77751167,12,"go","7/21/17 23:59",164.2533333,570.6533333,640.08,1,1,NA,NA,NA,NA,NA,NA
180.82,1.45,220717,"nothing","nothing","7/22/17 3:47",-84.38945833,33.77749667,13,"go","7/21/17 23:59",165.1,569.8066667,640.08,1676.333333,1,785,704,898,806,24.8,22.2
177.43,1.47,220717,"nothing","nothing","7/22/17 3:47",-84.38945667,33.77747833,14,"go","7/21/17 23:59",165.1,570.865,640.715,1,1,789,248,1333,1055,24.8,22.2
176.38,1.45,220717,"nothing","nothing","7/22/17 3:47",-84.38945333,33.777465,15,"go","7/21/17 23:59",165.1,569.8066667,640.9266667,1,1,783,883,738,735,24.9,22.2
170.73,1.43,220717,"nothing","nothing","7/22/17 3:47",-84.38944333,33.777455,16,"go","7/21/17 23:59",165.1,568.96,640.08,847,1,785,689,906,850,24.9,22.2
166.09,1.43,220717,"nothing","nothing","7/22/17 3:47",-84.38943667,33.77744333,17,"go","7/21/17 23:59",165.1,571.5,640.9266667,1,1,NA,NA,NA,NA,NA,NA
163.25,1.41,220717,"nothing","nothing","7/22/17 3:47",-84.38942833,33.77743333,18,"go","7/21/17 23:59",165.1,570.865,640.08,631.75,1,784,1007,419,553,24.8,22.1
162.3,1.37,220717,"nothing","nothing","7/22/17 3:47",-84.38942333,33.77742333,19,"go","7/22/17 0:00",165.1,573.1933333,640.08,1681.333333,1,784,673,946,870,24.8,22.1
160.98,1.35,220717,"nothing","nothing","7/22/17 3:47",-84.38941667,33.77741167,20,"go","7/22/17 0:00",164.2533333,572.3466667,640.08,1,1,788,371,1115,945,24.9,22
159.87,1.33,220717,"nothing","nothing","7/22/17 3:47",-84.389415,33.777405,21,"go","7/22/17 0:00",161.7133333,574.8866667,640.08,1,1,783,823,814,814,24.7,22
158.33,1.32,220717,"nothing","nothing","7/22/17 3:47",-84.38941,33.77739667,22,"go","7/22/17 0:00",162.56,573.405,640.715,1,1,783,668,897,851,24.5,21.9
158.17,1.32,220717,"nothing","nothing","7/22/17 3:47",-84.38940667,33.77738833,23,"go","7/22/17 0:00",162.56,571.5,640.08,1173,1,NA,NA,NA,NA,NA,NA
159.13,1.32,220717,"nothing","nothing","7/22/17 3:47",-84.38940167,33.77738,24,"go","7/22/17 0:00",162.56,572.77,640.08,1,1,782,904,521,606,24.5,21.9
160.5,1.33,220717,"nothing","nothing","7/22/17 3:47",-84.3894,33.77737,25,"go","7/22/17 0:00",162.56,571.5,640.08,1,1,784,666,964,886,24.4,21.8
161.28,1.36,220717,"nothing","nothing","7/22/17 3:47",-84.38939667,33.77736,26,"go","7/22/17 0:00",162.56,574.04,640.08,1,1,788,370,1134,981,24.3,21.7
160.61,1.38,220717,"nothing","nothing","7/22/17 3:47",-84.38939,33.77735,27,"go","7/22/17 0:00",162.56,574.8866667,640.08,1,1,783,838,802,801,24.3,21.7
159.63,1.42,220717,"nothing","nothing","7/22/17 3:47",-84.38938333,33.77734,28,"go","7/22/17 0:00",162.56,572.77,640.08,1,1,785,682,911,867,24.3,21.7
157.94,1.45,220717,"nothing","nothing","7/22/17 3:47",-84.38937667,33.77733333,29,"go","7/22/17 0:00",162.56,573.405,640.08,640.25,1,783,894,521,622,24.1,21.6
253.36,0.69,220717,"nothing","nothing","7/22/17 3:47",-84.38914167,33.777075,30,"go","7/22/17 0:00",162.052,574.04,640.08,306,1,783,732,856,801,24.1,21.6
248.15,0.67,220717,"nothing","nothing","7/22/17 3:47",-84.38914833,33.77704667,31,"go","7/22/17 0:00",162.56,574.04,640.08,842,1,788,312,1220,1028,23.9,21.5
242.76,0.69,220717,"nothing","nothing","7/22/17 3:47",-84.38915,33.777035,32,"go","7/22/17 0:00",162.56,574.04,640.9266667,1,1,NA,NA,NA,NA,NA,NA
190.14,0.72,220717,"nothing","nothing","7/22/17 3:47",-84.389155,33.77702667,33,"go","7/22/17 0:00",161.29,575.31,640.715,761.25,1,784,793,852,803,23.9,21.5
190.97,0.72,220717,"nothing","nothing","7/22/17 3:47",-84.38916,33.77701833,34,"go","7/22/17 0:00",160.02,575.7333333,640.08,1,1,786,630,985,907,23.9,21.5
191.5,0.7,220717,"nothing","nothing","7/22/17 3:47",-84.38916333,33.77701833,35,"go","7/22/17 0:00",160.8666667,576.58,640.08,1,1,785,1006,525,647,23.8,21.4
191.5,0.49,220717,"nothing","nothing","7/22/17 3:47",-84.389165,33.777015,36,"go","7/22/17 0:00",160.02,575.31,640.08,1,1,786,718,880,815,23.8,21.4
191.5,0.49,220717,"nothing","nothing","7/22/17 3:47",-84.38917667,33.777015,37,"go","7/22/17 0:00",160.02,577.4266667,640.08,1,1,788,482,984,877,23.7,21.3
191.5,0.49,220717,"nothing","nothing","7/22/17 3:47",-84.38918833,33.77702,38,"go","7/22/17 0:00",160.02,577.215,640.715,1,1,785,759,876,809,23.8,21.4
191.6,0.5,220717,"nothing","nothing","7/22/17 3:47",-84.38919333,33.77701667,39,"go","7/22/17 0:00",160.02,577.4266667,640.08,1,1,NA,NA,NA,NA,NA,NA
282.48,0.63,220717,"nothing","nothing","7/22/17 3:47",-84.38919667,33.77701667,40,"go","7/22/17 0:00",160.02,577.4266667,640.08,1,1,786,401,1285,1097,23.8,21.4
293.53,0.7,220717,"nothing","nothing","7/22/17 3:47",-84.38920833,33.77702833,41,"go","7/22/17 0:00",160.02,577.4266667,640.08,1,1,784,958,570,680,23.9,21.5
296.27,0.77,220717,"nothing","nothing","7/22/17 3:47",-84.38922333,33.77704,42,"go","7/22/17 0:00",160.02,578.2733333,640.08,1,1,786,739,852,799,23.9,21.5
298.87,0.78,220717,"nothing","nothing","7/22/17 3:47",-84.38923,33.77705167,43,"go","7/22/17 0:00",160.02,577.215,640.08,1,1,790,451,1015,916,23.9,21.5
307.93,0.74,220717,"nothing","nothing","7/22/17 3:47",-84.38922667,33.77705833,44,"go","7/22/17 0:00",160.8666667,577.4266667,640.9266667,1,1,NA,NA,NA,NA,NA,NA
