"course","speed","day","time","lon","lat","seq","way"
0,0,"210717",2017-07-20 21:04:30,0,0,1,"go"
0,0,"210717",2017-07-20 21:04:31,0,0,2,"go"
0,0,"210717",2017-07-20 21:04:32,0,0,3,"go"
0,0,"210717",2017-07-20 21:04:33,0,0,4,"go"
0,0,"210717",2017-07-20 21:04:34,0,0,5,"go"
0,0,"210717",2017-07-20 21:04:35,0,0,6,"go"
0,0,"210717",2017-07-20 21:04:36,0,0,7,"go"
0,0,"210717",2017-07-20 21:04:37,0,0,8,"go"
0,0,"210717",2017-07-20 21:04:38,0,0,9,"go"
0,0,"210717",2017-07-20 21:04:39,0,0,10,"go"
0,0,"210717",2017-07-20 21:04:40,0,0,11,"go"
0,0,"210717",2017-07-20 21:04:41,0,0,12,"go"
0,0,"210717",2017-07-20 21:04:42,0,0,13,"go"
0,0,"210717",2017-07-20 21:04:43,0,0,14,"go"
0,0,"210717",2017-07-20 21:04:44,0,0,15,"go"
0,0,"210717",2017-07-20 21:04:45,0,0,16,"go"
0,0,"210717",2017-07-20 21:04:46,0,0,17,"go"
0,0,"210717",2017-07-20 21:04:47,0,0,18,"go"
0,0,"210717",2017-07-20 21:04:48,0,0,19,"go"
0,0,"210717",2017-07-20 21:04:49,0,0,20,"go"
0,0,"210717",2017-07-20 21:04:50,0,0,21,"go"
0,0,"210717",2017-07-20 21:04:51,0,0,22,"go"
0,0,"210717",2017-07-20 21:04:52,0,0,23,"go"
0,0,"210717",2017-07-20 21:04:53,0,0,24,"go"
0,0,"210717",2017-07-20 21:04:54,0,0,25,"go"
0,0,"210717",2017-07-20 21:04:55,0,0,26,"go"
0,0,"210717",2017-07-20 21:04:56,0,0,27,"go"
0,0,"210717",2017-07-20 21:04:57,0,0,28,"go"
0,0,"210717",2017-07-20 21:04:58,0,0,29,"go"
0,0,"210717",2017-07-20 21:04:59,0,0,30,"go"
0,0,"210717",2017-07-20 21:05:00,0,0,31,"go"
0,0,"210717",2017-07-20 21:05:01,0,0,32,"go"
0,0,"210717",2017-07-20 21:05:02,0,0,33,"go"
231.43,6.15,"210717",2017-07-20 21:05:03,0,0,34,"go"
231.43,0.18,"210717",2017-07-20 21:05:04,0,0,35,"go"
231.43,0.12,"210717",2017-07-20 21:05:05,0,0,36,"go"
231.43,0.04,"210717",2017-07-20 21:05:06,0,0,37,"go"
231.43,0.03,"210717",2017-07-20 21:05:07,0,0,38,"go"
231.43,0.02,"210717",2017-07-20 21:05:08,0,0,39,"go"
231.43,0.09,"210717",2017-07-20 21:05:09,0,0,40,"go"
231.43,0.27,"210717",2017-07-20 21:05:10,0,0,41,"go"
231.43,0.33,"210717",2017-07-20 21:05:11,0,0,42,"go"
231.43,0.46,"210717",2017-07-20 21:05:12,0,0,43,"go"
231.43,0.47,"210717",2017-07-20 21:05:13,0,0,44,"go"
226.02,0.67,"210717",2017-07-20 21:05:14,0,0,45,"go"
225.78,0.86,"210717",2017-07-20 21:05:15,0,0,46,"go"
225.41,0.91,"210717",2017-07-20 21:05:16,0,0,47,"go"
232.69,1.08,"210717",2017-07-20 21:05:17,0,0,48,"go"
235.97,1.27,"210717",2017-07-20 21:05:18,0,0,49,"go"
238.24,0.94,"210717",2017-07-20 21:05:19,0,0,50,"go"
238.24,0.52,"210717",2017-07-20 21:05:20,0,0,51,"go"
238.24,0.35,"210717",2017-07-20 21:05:21,0,0,52,"go"
238.88,0.97,"210717",2017-07-20 21:05:22,0,0,53,"go"
238.88,0.37,"210717",2017-07-20 21:05:23,0,0,54,"go"
238.46,0.6,"210717",2017-07-20 21:05:24,0,0,55,"go"
238.46,0.46,"210717",2017-07-20 21:05:25,0,0,56,"go"
238.46,0.16,"210717",2017-07-20 21:05:26,0,0,57,"go"
238.46,0.3,"210717",2017-07-20 21:05:27,0,0,58,"go"
238.87,0.91,"210717",2017-07-20 21:05:28,0,0,59,"go"
239.05,1.16,"210717",2017-07-20 21:05:29,0,0,60,"go"
239.05,0.25,"210717",2017-07-20 21:05:30,0,0,61,"go"
239.05,0.48,"210717",2017-07-20 21:05:31,0,0,62,"go"
239.05,0.55,"210717",2017-07-20 21:05:32,0,0,63,"go"
238.76,2.29,"210717",2017-07-20 21:05:33,0,0,64,"go"
236.94,0.73,"210717",2017-07-20 21:05:34,0,0,65,"go"
237.62,0.69,"210717",2017-07-20 21:05:35,0,0,66,"go"
235.97,0.81,"210717",2017-07-20 21:05:36,0,0,67,"go"
235.86,1.72,"210717",2017-07-20 21:05:37,0,0,68,"go"
233.82,1.75,"210717",2017-07-20 21:05:38,0,0,69,"go"
234.72,1.49,"210717",2017-07-20 21:05:39,0,0,70,"go"
233.95,1.41,"210717",2017-07-20 21:05:40,0,0,71,"go"
234.46,1.59,"210717",2017-07-20 21:05:41,0,0,72,"go"
232.51,1.6,"210717",2017-07-20 21:05:42,0,0,73,"go"
233.07,3.58,"210717",2017-07-20 21:05:43,0,0,74,"go"
230.11,2.59,"210717",2017-07-20 21:05:44,0,0,75,"go"
230.52,2.93,"210717",2017-07-20 21:05:45,0,0,76,"go"
232.81,1.56,"210717",2017-07-20 21:05:46,0,0,77,"go"
235.46,1.38,"210717",2017-07-20 21:05:47,0,0,78,"go"
234.51,1.78,"210717",2017-07-20 21:05:48,0,0,79,"go"
234.75,1.51,"210717",2017-07-20 21:05:49,0,0,80,"go"
233.7,1.81,"210717",2017-07-20 21:05:50,0,0,81,"go"
233.41,2.42,"210717",2017-07-20 21:05:51,0,0,82,"go"
237.59,1.33,"210717",2017-07-20 21:05:52,0,0,83,"go"
234.03,2.02,"210717",2017-07-20 21:05:53,0,0,84,"go"
230.95,3.4,"210717",2017-07-20 21:05:54,0,0,85,"go"
230.03,3.16,"210717",2017-07-20 21:05:55,0,0,86,"go"
230.83,3.58,"210717",2017-07-20 21:05:56,0,0,87,"go"
230.98,4.25,"210717",2017-07-20 21:05:57,0,0,88,"go"
230.59,4.16,"210717",2017-07-20 21:05:58,0,0,89,"go"
231.69,3.27,"210717",2017-07-20 21:05:59,0,0,90,"go"
234.71,2.92,"210717",2017-07-20 21:06:00,0,0,91,"go"
233.24,3.08,"210717",2017-07-20 21:06:01,0,0,92,"go"
235.56,2.5,"210717",2017-07-20 21:06:02,0,0,93,"go"
237.29,1.67,"210717",2017-07-20 21:06:03,0,0,94,"go"
237.51,1.64,"210717",2017-07-20 21:06:04,0,0,95,"go"
233.41,1.43,"210717",2017-07-20 21:06:05,0,0,96,"go"
233.18,2.58,"210717",2017-07-20 21:06:06,0,0,97,"go"
231.81,2.3,"210717",2017-07-20 21:06:07,0,0,98,"go"
234.26,2.2,"210717",2017-07-20 21:06:08,0,0,99,"go"
233.62,1.89,"210717",2017-07-20 21:06:09,0,0,100,"go"
233.46,1.8,"210717",2017-07-20 21:06:10,0,0,101,"go"
233.68,2.02,"210717",2017-07-20 21:06:11,0,0,102,"go"
234.53,2.58,"210717",2017-07-20 21:06:12,0,0,103,"go"
232.17,2.66,"210717",2017-07-20 21:06:13,0,0,104,"go"
232.81,3.13,"210717",2017-07-20 21:06:14,0,0,105,"go"
231.79,2.92,"210717",2017-07-20 21:06:15,0,0,106,"go"
233.73,3.03,"210717",2017-07-20 21:06:16,0,0,107,"go"
234.63,3.21,"210717",2017-07-20 21:06:17,0,0,108,"go"
233.13,3.74,"210717",2017-07-20 21:06:18,0,0,109,"go"
234.38,2.69,"210717",2017-07-20 21:06:19,0,0,110,"go"
234.57,3.12,"210717",2017-07-20 21:06:20,0,0,111,"go"
234.27,2.83,"210717",2017-07-20 21:06:21,0,0,112,"go"
237.16,3.32,"210717",2017-07-20 21:06:22,0,0,113,"go"
234.65,2.2,"210717",2017-07-20 21:06:23,0,0,114,"go"
234.8,3.49,"210717",2017-07-20 21:06:24,0,0,115,"go"
236.95,2.56,"210717",2017-07-20 21:06:25,0,0,116,"go"
234.76,1.8,"210717",2017-07-20 21:06:26,0,0,117,"go"
230.18,2.86,"210717",2017-07-20 21:06:27,0,0,118,"go"
229.92,1.25,"210717",2017-07-20 21:06:28,0,0,119,"go"
229.92,0.49,"210717",2017-07-20 21:06:29,0,0,120,"go"
229.92,0.46,"210717",2017-07-20 21:06:30,0,0,121,"go"
48.47,1.15,"210717",2017-07-20 21:06:31,0,0,122,"go"
49.5,0.88,"210717",2017-07-20 21:06:32,0,0,123,"go"
48.41,1.48,"210717",2017-07-20 21:06:33,0,0,124,"go"
48.76,2.19,"210717",2017-07-20 21:06:34,0,0,125,"go"
48.21,1.85,"210717",2017-07-20 21:06:35,0,0,126,"go"
46.94,1.53,"210717",2017-07-20 21:06:36,0,0,127,"go"
48.28,0.85,"210717",2017-07-20 21:06:37,0,0,128,"go"
48.11,1.13,"210717",2017-07-20 21:06:38,0,0,129,"go"
47.97,0.86,"210717",2017-07-20 21:06:39,0,0,130,"go"
48.07,0.63,"210717",2017-07-20 21:06:40,0,0,131,"go"
48.07,0.32,"210717",2017-07-20 21:06:41,0,0,132,"go"
48.07,0.33,"210717",2017-07-20 21:06:42,0,0,133,"go"
48.07,0.18,"210717",2017-07-20 21:06:43,0,0,134,"go"
48.07,0.24,"210717",2017-07-20 21:06:44,0,0,135,"go"
48.07,0.24,"210717",2017-07-20 21:06:45,0,0,136,"go"
48.07,0.56,"210717",2017-07-20 21:06:46,0,0,137,"go"
48.07,0.01,"210717",2017-07-20 21:06:47,0,0,138,"go"
48.07,0.02,"210717",2017-07-20 21:06:48,0,0,139,"go"
232.6,0.77,"210717",2017-07-20 21:06:49,0,0,140,"go"
232.6,0.48,"210717",2017-07-20 21:06:50,0,0,141,"go"
228.93,1.11,"210717",2017-07-20 21:06:51,0,0,142,"go"
229.68,1.03,"210717",2017-07-20 21:06:52,0,0,143,"go"
228.9,1.93,"210717",2017-07-20 21:06:53,0,0,144,"go"
229.74,1.42,"210717",2017-07-20 21:06:54,0,0,145,"go"
229.74,0.43,"210717",2017-07-20 21:06:55,0,0,146,"go"
230.3,0.81,"210717",2017-07-20 21:06:56,0,0,147,"go"
233.42,0.95,"210717",2017-07-20 21:06:57,0,0,148,"go"
231.21,0.71,"210717",2017-07-20 21:06:58,0,0,149,"go"
232.92,0.94,"210717",2017-07-20 21:06:59,0,0,150,"go"
230.5,2.32,"210717",2017-07-20 21:07:00,0,0,151,"go"
229.54,2.07,"210717",2017-07-20 21:07:01,0,0,152,"go"
231.77,1.59,"210717",2017-07-20 21:07:02,0,0,153,"go"
231.15,1.48,"210717",2017-07-20 21:07:03,0,0,154,"go"
230.78,1.84,"210717",2017-07-20 21:07:04,0,0,155,"go"
232.75,1.27,"210717",2017-07-20 21:07:05,0,0,156,"go"
232.77,2.2,"210717",2017-07-20 21:07:06,0,0,157,"go"
235.26,2.47,"210717",2017-07-20 21:07:07,0,0,158,"go"
232.36,1.52,"210717",2017-07-20 21:07:08,0,0,159,"go"
234.61,1.61,"210717",2017-07-20 21:07:09,0,0,160,"go"
234.15,1.28,"210717",2017-07-20 21:07:10,0,0,161,"go"
232.46,1.31,"210717",2017-07-20 21:07:11,0,0,162,"go"
233.26,0.8,"210717",2017-07-20 21:07:12,0,0,163,"go"
233.92,1.36,"210717",2017-07-20 21:07:13,0,0,164,"go"
234.33,1.52,"210717",2017-07-20 21:07:14,0,0,165,"go"
235.05,1.21,"210717",2017-07-20 21:07:15,0,0,166,"go"
234.61,1.5,"210717",2017-07-20 21:07:16,0,0,167,"go"
234.01,1.09,"210717",2017-07-20 21:07:17,0,0,168,"go"
234.79,1.07,"210717",2017-07-20 21:07:18,0,0,169,"go"
233.71,1.44,"210717",2017-07-20 21:07:19,0,0,170,"go"
234.28,2.06,"210717",2017-07-20 21:07:20,0,0,171,"go"
232.48,2.49,"210717",2017-07-20 21:07:21,0,0,172,"go"
235.09,3.79,"210717",2017-07-20 21:07:22,0,0,173,"go"
233.07,2.11,"210717",2017-07-20 21:07:23,0,0,174,"go"
233.07,0.33,"210717",2017-07-20 21:07:24,0,0,175,"go"
46,1.06,"210717",2017-07-20 21:07:25,0,0,176,"go"
44.86,1.07,"210717",2017-07-20 21:07:26,0,0,177,"go"
42.56,1.05,"210717",2017-07-20 21:07:27,0,0,178,"go"
42.07,1.56,"210717",2017-07-20 21:07:28,0,0,179,"go"
45.23,2.38,"210717",2017-07-20 21:07:29,0,0,180,"go"
44.33,1.08,"210717",2017-07-20 21:07:30,0,0,181,"go"
44.57,1.68,"210717",2017-07-20 21:07:31,0,0,182,"go"
43.42,1.99,"210717",2017-07-20 21:07:32,0,0,183,"go"
46.76,2.39,"210717",2017-07-20 21:07:33,0,0,184,"go"
46.38,2.79,"210717",2017-07-20 21:07:34,0,0,185,"go"
47.09,4.25,"210717",2017-07-20 21:07:35,0,0,186,"go"
46.79,4.83,"210717",2017-07-20 21:07:36,0,0,187,"go"
47.57,3.29,"210717",2017-07-20 21:07:37,0,0,188,"go"
48.14,2.95,"210717",2017-07-20 21:07:38,0,0,189,"go"
46.39,6.45,"210717",2017-07-20 21:07:39,0,0,190,"go"
46.17,6.32,"210717",2017-07-20 21:07:40,0,0,191,"go"
46.16,5.61,"210717",2017-07-20 21:07:41,0,0,192,"go"
46.31,5.26,"210717",2017-07-20 21:07:42,0,0,193,"go"
46.24,6.24,"210717",2017-07-20 21:07:43,0,0,194,"go"
46.28,5.94,"210717",2017-07-20 21:07:44,0,0,195,"go"
46.16,5.98,"210717",2017-07-20 21:07:45,0,0,196,"go"
46.8,5.17,"210717",2017-07-20 21:07:46,0,0,197,"go"
47.17,4.95,"210717",2017-07-20 21:07:47,0,0,198,"go"
46.63,5.92,"210717",2017-07-20 21:07:48,0,0,199,"go"
1.82,18.37,"210717",2017-07-20 21:07:49,0,0,200,"go"
359.84,17.35,"210717",2017-07-20 21:07:51,-84.397715,33.78051,201,"go"
358.93,16.96,"210717",2017-07-20 21:07:52,-84.3977066666667,33.7805683333333,202,"go"
358.55,16.56,"210717",2017-07-20 21:07:53,-84.3977133333333,33.7806416666667,203,"go"
358.85,16.33,"210717",2017-07-20 21:07:54,-84.3977166666667,33.7807166666667,204,"go"
359,16.08,"210717",2017-07-20 21:07:55,-84.3977183333333,33.78079,205,"go"
358.68,15.88,"210717",2017-07-20 21:07:56,-84.3977216666667,33.7808616666667,206,"go"
358.65,15.66,"210717",2017-07-20 21:07:57,-84.3977266666667,33.7809283333333,207,"go"
358.89,15.17,"210717",2017-07-20 21:07:58,-84.39772,33.7809916666667,208,"go"
359.08,14.53,"210717",2017-07-20 21:07:59,-84.397715,33.7810533333333,209,"go"
358.91,14.07,"210717",2017-07-20 21:08:00,-84.39771,33.78111,210,"go"
357.66,12.95,"210717",2017-07-20 21:08:01,-84.3977066666667,33.7811683333333,211,"go"
356.94,12.6,"210717",2017-07-20 21:08:02,-84.3977083333333,33.7812266666667,212,"go"
354.15,11.03,"210717",2017-07-20 21:08:03,-84.3977083333333,33.78127,213,"go"
357.92,9.88,"210717",2017-07-20 21:08:04,-84.3976933333333,33.781305,214,"go"
1.07,8.83,"210717",2017-07-20 21:08:05,-84.397675,33.781335,215,"go"
0.05,8.55,"210717",2017-07-20 21:08:06,-84.3976733333333,33.781375,216,"go"
351.61,7.35,"210717",2017-07-20 21:08:07,-84.3976783333333,33.7814083333333,217,"go"
332.66,6.2,"210717",2017-07-20 21:08:08,-84.3977,33.7814366666667,218,"go"
299.57,5.7,"210717",2017-07-20 21:08:09,-84.3977333333333,33.7814516666667,219,"go"
279.25,6.56,"210717",2017-07-20 21:08:10,-84.3977733333333,33.7814616666667,220,"go"
271.93,7.79,"210717",2017-07-20 21:08:11,-84.3978283333333,33.78147,221,"go"
275.82,8.18,"210717",2017-07-20 21:08:12,-84.3978833333333,33.7814733333333,222,"go"
279.3,8.76,"210717",2017-07-20 21:08:13,-84.3979466666667,33.7814816666667,223,"go"
279.26,7.88,"210717",2017-07-20 21:08:14,-84.397985,33.7814816666667,224,"go"
280.35,7.91,"210717",2017-07-20 21:08:15,-84.3980316666667,33.7814883333333,225,"go"
277.95,8.21,"210717",2017-07-20 21:08:16,-84.3980783333333,33.781495,226,"go"
271.25,8.01,"210717",2017-07-20 21:08:17,-84.3981183333333,33.781495,227,"go"
269.96,8.16,"210717",2017-07-20 21:08:18,-84.3981666666667,33.7814966666667,228,"go"
273,8.42,"210717",2017-07-20 21:08:19,-84.3982216666667,33.7815016666667,229,"go"
270.99,8.37,"210717",2017-07-20 21:08:20,-84.3982683333333,33.7815016666667,230,"go"
267.93,7.81,"210717",2017-07-20 21:08:21,-84.3983066666667,33.7814966666667,231,"go"
266.87,7.58,"210717",2017-07-20 21:08:22,-84.3983483333333,33.781495,232,"go"
268.79,7.58,"210717",2017-07-20 21:08:23,-84.3983933333333,33.7814966666667,233,"go"
270,7.86,"210717",2017-07-20 21:08:24,-84.39844,33.7814983333333,234,"go"
270.21,7.65,"210717",2017-07-20 21:08:25,-84.3984816666667,33.7815,235,"go"
271,7.63,"210717",2017-07-20 21:08:26,-84.3985216666667,33.781495,236,"go"
270.64,7.58,"210717",2017-07-20 21:08:27,-84.3985583333333,33.7814866666667,237,"go"
269.53,6.84,"210717",2017-07-20 21:08:28,-84.3985833333333,33.7814766666667,238,"go"
270.28,6.62,"210717",2017-07-20 21:08:29,-84.3986133333333,33.7814733333333,239,"go"
267.76,6.64,"210717",2017-07-20 21:08:30,-84.3986533333333,33.7814633333333,240,"go"
261.91,7.11,"210717",2017-07-20 21:08:31,-84.3986933333333,33.781455,241,"go"
265.07,7.42,"210717",2017-07-20 21:08:32,-84.3987333333333,33.7814416666667,242,"go"
265.65,6.85,"210717",2017-07-20 21:08:33,-84.3987716666667,33.7814366666667,243,"go"
266.24,6.34,"210717",2017-07-20 21:08:34,-84.3988033333333,33.7814316666667,244,"go"
267.08,5.47,"210717",2017-07-20 21:08:35,-84.3988333333333,33.7814316666667,245,"go"
269.24,4.65,"210717",2017-07-20 21:08:36,-84.3988533333333,33.78143,246,"go"
261.49,5.06,"210717",2017-07-20 21:08:37,-84.3988816666667,33.7814266666667,247,"go"
261.99,5.31,"210717",2017-07-20 21:08:38,-84.3989183333333,33.7814233333333,248,"go"
263.21,4.44,"210717",2017-07-20 21:08:39,-84.3989416666667,33.7814183333333,249,"go"
266.37,3.71,"210717",2017-07-20 21:08:40,-84.3989533333333,33.7814183333333,250,"go"
266.37,0.19,"210717",2017-07-20 21:08:41,-84.3989533333333,33.781415,251,"go"
266.37,0.09,"210717",2017-07-20 21:08:42,-84.3989633333333,33.78142,252,"go"
267.35,0.06,"210717",2017-07-20 21:08:43,-84.3989766666667,33.781425,253,"go"
267.49,0.04,"210717",2017-07-20 21:08:44,-84.39899,33.7814283333333,254,"go"
267.33,0.06,"210717",2017-07-20 21:08:45,-84.3989933333333,33.7814283333333,255,"go"
267.33,0,"210717",2017-07-20 21:08:46,-84.3989966666667,33.7814283333333,256,"go"
267.33,0,"210717",2017-07-20 21:08:47,-84.3989966666667,33.7814283333333,257,"go"
267.33,0,"210717",2017-07-20 21:08:48,-84.3989966666667,33.7814283333333,258,"go"
267.33,0,"210717",2017-07-20 21:08:49,-84.3989966666667,33.7814283333333,259,"go"
267.33,0,"210717",2017-07-20 21:08:50,-84.3989966666667,33.7814283333333,260,"go"
267.33,0,"210717",2017-07-20 21:08:51,-84.3989966666667,33.7814283333333,261,"go"
267.33,0,"210717",2017-07-20 21:08:52,-84.3989966666667,33.7814283333333,262,"go"
267.33,0,"210717",2017-07-20 21:08:53,-84.3989966666667,33.7814283333333,263,"go"
267.33,0,"210717",2017-07-20 21:08:54,-84.3989966666667,33.7814283333333,264,"go"
267.33,0,"210717",2017-07-20 21:08:55,-84.3989966666667,33.7814283333333,265,"go"
267.33,0.04,"210717",2017-07-20 21:08:56,-84.3989983333333,33.7814266666667,266,"go"
267.33,0,"210717",2017-07-20 21:08:57,-84.399,33.7814266666667,267,"go"
267.33,0,"210717",2017-07-20 21:08:58,-84.399,33.7814266666667,268,"go"
267.33,0,"210717",2017-07-20 21:08:59,-84.399,33.7814266666667,269,"go"
267.33,0,"210717",2017-07-20 21:09:00,-84.3990016666667,33.781425,270,"go"
