"course","speed","day","time","lon","lat","seq","way","video_time","USRight","USLeft","USRear","LidarRight","LidarLeft","CO","SO","O3","NO","P10","P25"
0,0,"210717",2017-07-20 21:04:30,0,0,1,"go",2017-07-20 23:57:50,106.68,40.64,259.08,485,1,NA,NA,NA,NA,NA,NA
0,0,"210717",2017-07-20 21:04:31,0,0,2,"go",2017-07-20 23:57:51,101.6,40.64,258.445,486.25,1,783,748,777,822,23.7,21.1
0,0,"210717",2017-07-20 21:04:32,0,0,3,"go",2017-07-20 23:57:52,95.6733333333333,40.64,258.233333333333,483.333333333333,1,785,412,776,950,23.9,21.3
0,0,"210717",2017-07-20 21:04:33,0,0,4,"go",2017-07-20 23:57:53,96.52,40.64,259.926666666667,490,1,784,882,778,758,24.2,21.6
0,0,"210717",2017-07-20 21:04:34,0,0,5,"go",2017-07-20 23:57:54,102.235,40.64,262.255,486.25,13.5,783,801,777,816,24.6,21.9
0,0,"210717",2017-07-20 21:04:35,0,0,6,"go",2017-07-20 23:57:55,99.9066666666667,40.64,259.08,487.333333333333,4.33333333333333,NA,NA,NA,NA,NA,NA
0,0,"210717",2017-07-20 21:04:36,0,0,7,"go",2017-07-20 23:57:56,94.615,40.64,260.35,486.5,1,793,513,775,921,24.9,22.2
0,0,"210717",2017-07-20 21:04:37,0,0,8,"go",2017-07-20 23:57:57,106.68,42.3333333333333,261.62,488,10,785,826,778,822,25.2,22.5
0,0,"210717",2017-07-20 21:04:38,0,0,9,"go",2017-07-20 23:57:58,110.066666666667,43.18,261.62,488.333333333333,8.33333333333333,792,377,777,1064,26,23.2
0,0,"210717",2017-07-20 21:04:39,0,0,10,"go",2017-07-20 23:57:59,105.41,43.18,261.62,486,11.25,785,934,778,722,26,23.2
0,0,"210717",2017-07-20 21:04:40,0,0,11,"go",2017-07-20 23:58:00,117.686666666667,43.18,261.62,482,4.33333333333333,786,848,777,763,26.1,23.3
0,0,"210717",2017-07-20 21:04:41,0,0,12,"go",2017-07-20 23:58:01,97.3666666666667,43.18,176.953333333333,483.333333333333,12.3333333333333,NA,NA,NA,NA,NA,NA
0,0,"210717",2017-07-20 21:04:42,0,0,13,"go",2017-07-20 23:58:02,99.06,43.18,258.445,448.75,33.75,799,581,776,870,26.1,23.3
0,0,"210717",2017-07-20 21:04:43,0,0,14,"go",2017-07-20 23:58:03,81.28,43.18,630.766666666667,367.333333333333,1,800,770,777,876,26,23.3
0,0,"210717",2017-07-20 21:04:44,0,0,15,"go",2017-07-20 23:58:04,98.425,43.18,641.985,378.25,1,806,342,775,1040,26.1,23.4
0,0,"210717",2017-07-20 21:04:45,0,0,16,"go",2017-07-20 23:58:05,93.98,43.18,641.773333333333,425,1,797,892,778,796,26,23.3
0,0,"210717",2017-07-20 21:04:46,0,0,17,"go",2017-07-20 23:58:06,99.06,44.0266666666667,642.62,386,1334.66666666667,793,698,777,795,26,23.3
0,0,"210717",2017-07-20 21:04:47,0,0,18,"go",2017-07-20 23:58:07,122.766666666667,45.72,556.26,486.333333333333,1,NA,NA,NA,NA,NA,NA
0,0,"210717",2017-07-20 21:04:48,0,0,19,"go",2017-07-20 23:58:08,106.68,45.72,279.4,488.75,1,789,971,778,536,25.9,23.2
0,0,"210717",2017-07-20 21:04:49,0,0,20,"go",2017-07-20 23:58:09,87.2066666666667,45.72,254,489.333333333333,1,791,703,777,874,25.8,23.1
0,0,"210717",2017-07-20 21:04:50,0,0,21,"go",2017-07-20 23:58:10,103.505,45.72,257.81,483.5,1,794,420,776,936,25.8,23.1
0,0,"210717",2017-07-20 21:04:51,0,0,22,"go",2017-07-20 23:58:11,99.06,45.72,258.233333333333,486.333333333333,9.66666666666667,783,889,777,764,25.8,23.1
0,0,"210717",2017-07-20 21:04:52,0,0,23,"go",2017-07-20 23:58:12,102.446666666667,45.72,258.233333333333,485.666666666667,1,784,797,777,750,25.7,23
0,0,"210717",2017-07-20 21:04:53,0,0,24,"go",2017-07-20 23:58:13,103.293333333333,45.72,306.493333333333,487.333333333333,1,NA,NA,NA,NA,NA,NA
0,0,"210717",2017-07-20 21:04:54,0,0,25,"go",2017-07-20 23:58:14,118.11,45.72,257.175,486.5,1,789,530,775,775,25.7,23
0,0,"210717",2017-07-20 21:04:55,0,0,26,"go",2017-07-20 23:58:15,122.766666666667,45.72,486.833333333333,485,1,788,759,777,797,25.6,22.9
0,0,"210717",2017-07-20 21:04:56,0,0,27,"go",2017-07-20 23:58:16,109.22,45.72,595.206666666667,486.333333333333,1,798,334,775,1047,25.6,22.9
0,0,"210717",2017-07-20 21:04:57,0,0,28,"go",2017-07-20 23:58:17,116.84,45.72,397.933333333333,483.666666666667,1,794,948,778,734,25.4,22.8
0,0,"210717",2017-07-20 21:04:58,0,0,29,"go",2017-07-20 23:58:18,110.49,46.99,380.365,484,1,789,690,776,862,25.4,22.8
0,0,"210717",2017-07-20 21:04:59,0,0,30,"go",2017-07-20 23:58:19,107.526666666667,48.26,414.866666666667,485,1,NA,NA,NA,NA,NA,NA
0,0,"210717",2017-07-20 21:05:00,0,0,31,"go",2017-07-20 23:58:20,105.833333333333,48.26,256.54,485.333333333333,1,784,974,777,531,25.5,22.9
0,0,"210717",2017-07-20 21:05:01,0,0,32,"go",2017-07-20 23:58:21,104.986666666667,48.26,480.906666666667,480.666666666667,1,783,727,776,834,25.5,22.9
0,0,"210717",2017-07-20 21:05:02,0,0,33,"go",2017-07-20 23:58:22,106.045,48.26,253.365,486.5,564.5,784,418,775,942,25.5,22.9
231.43,6.15,"210717",2017-07-20 21:05:03,0,0,34,"go",2017-07-20 23:58:23,86.36,48.26,403.013333333333,491.333333333333,1477.33333333333,779,866,776,722,25.4,22.8
231.43,0.18,"210717",2017-07-20 21:05:04,0,0,35,"go",2017-07-20 23:58:24,94.615,48.26,630.555,464.5,1,779,691,776,869,25.3,22.8
231.43,0.12,"210717",2017-07-20 21:05:05,0,0,36,"go",2017-07-20 23:58:25,91.44,48.26,641.773333333333,349,1,NA,NA,NA,NA,NA,NA
231.43,0.04,"210717",2017-07-20 21:05:06,0,0,37,"go",2017-07-20 23:58:26,102.446666666667,48.26,642.62,481.666666666667,1,782,665,776,626,25.2,22.7
231.43,0.03,"210717",2017-07-20 21:05:07,0,0,38,"go",2017-07-20 23:58:27,82.9733333333333,48.26,247.226666666667,493,739,777,795,777,838,25.2,22.7
231.43,0.02,"210717",2017-07-20 21:05:08,0,0,39,"go",2017-07-20 23:58:28,104.775,48.26,607.695,514,500.25,783,288,774,1030,25.2,22.7
231.43,0.09,"210717",2017-07-20 21:05:09,0,0,40,"go",2017-07-20 23:58:29,176.106666666667,48.26,641.773333333333,273,408,776,912,776,787,25.1,22.6
231.43,0.27,"210717",2017-07-20 21:05:10,0,0,41,"go",2017-07-20 23:58:30,176.953333333333,48.26,641.773333333333,554,873.333333333333,NA,NA,NA,NA,NA,NA
231.43,0.33,"210717",2017-07-20 21:05:11,0,0,42,"go",2017-07-20 23:58:31,233.68,48.895,642.62,438.25,1511,779,689,777,877,25,22.6
231.43,0.46,"210717",2017-07-20 21:05:12,0,0,43,"go",2017-07-20 23:58:32,237.913333333333,50.8,633.306666666667,565,2166.66666666667,784,532,774,928,24.9,22.5
231.43,0.47,"210717",2017-07-20 21:05:13,0,0,44,"go",2017-07-20 23:58:33,381.846666666667,50.8,641.773333333333,787.333333333333,1631.66666666667,781,701,776,833,25,22.6
226.02,0.67,"210717",2017-07-20 21:05:14,0,0,45,"go",2017-07-20 23:58:34,395.605,50.8,634.365,653.5,1,784,364,774,1060,25,22.6
