course,speed,day,time,lon,lat,seq,way,video_time,Signature,USRight,USLeft,USRear,LidarRight,LidarLeft,CO,SO,O3,NO,P10,P25
0,0,210717,7/20/2017 21:04,0,0,1,go,7/20/2017 23:57,,106.68,40.64,259.08,485,1,NA,NA,NA,NA,NA,NA
0,0,210717,7/20/2017 21:04,0,0,2,go,7/20/2017 23:57,,101.6,40.64,258.445,486.25,1,783,748,777,822,23.7,21.1
0,0,210717,7/20/2017 21:04,0,0,3,go,7/20/2017 23:57,,95.67333333,40.64,258.2333333,483.3333333,1,785,412,776,950,23.9,21.3
0,0,210717,7/20/2017 21:04,0,0,4,go,7/20/2017 23:57,,96.52,40.64,259.9266667,490,1,784,882,778,758,24.2,21.6
0,0,210717,7/20/2017 21:04,0,0,5,go,7/20/2017 23:57,,102.235,40.64,262.255,486.25,13.5,783,801,777,816,24.6,21.9
0,0,210717,7/20/2017 21:04,0,0,6,go,7/20/2017 23:57,,99.90666667,40.64,259.08,487.3333333,4.333333333,NA,NA,NA,NA,NA,NA
0,0,210717,7/20/2017 21:04,0,0,7,go,7/20/2017 23:57,,94.615,40.64,260.35,486.5,1,793,513,775,921,24.9,22.2
0,0,210717,7/20/2017 21:04,0,0,8,go,7/20/2017 23:57,,106.68,42.33333333,261.62,488,10,785,826,778,822,25.2,22.5
0,0,210717,7/20/2017 21:04,0,0,9,go,7/20/2017 23:57,,110.0666667,43.18,261.62,488.3333333,8.333333333,792,377,777,1064,26,23.2
0,0,210717,7/20/2017 21:04,0,0,10,go,7/20/2017 23:57,,105.41,43.18,261.62,486,11.25,785,934,778,722,26,23.2
0,0,210717,7/20/2017 21:04,0,0,11,go,7/20/2017 23:58,,117.6866667,43.18,261.62,482,4.333333333,786,848,777,763,26.1,23.3
0,0,210717,7/20/2017 21:04,0,0,12,go,7/20/2017 23:58,,97.36666667,43.18,176.9533333,483.3333333,12.33333333,NA,NA,NA,NA,NA,NA
0,0,210717,7/20/2017 21:04,0,0,13,go,7/20/2017 23:58,,99.06,43.18,258.445,448.75,33.75,799,581,776,870,26.1,23.3
0,0,210717,7/20/2017 21:04,0,0,14,go,7/20/2017 23:58,,81.28,43.18,630.7666667,367.3333333,1,800,770,777,876,26,23.3
0,0,210717,7/20/2017 21:04,0,0,15,go,7/20/2017 23:58,,98.425,43.18,641.985,378.25,1,806,342,775,1040,26.1,23.4
0,0,210717,7/20/2017 21:04,0,0,16,go,7/20/2017 23:58,,93.98,43.18,641.7733333,425,1,797,892,778,796,26,23.3
0,0,210717,7/20/2017 21:04,0,0,17,go,7/20/2017 23:58,,99.06,44.02666667,642.62,386,1334.666667,793,698,777,795,26,23.3
0,0,210717,7/20/2017 21:04,0,0,18,go,7/20/2017 23:58,,122.7666667,45.72,556.26,486.3333333,1,NA,NA,NA,NA,NA,NA
0,0,210717,7/20/2017 21:04,0,0,19,go,7/20/2017 23:58,,106.68,45.72,279.4,488.75,1,789,971,778,536,25.9,23.2
0,0,210717,7/20/2017 21:04,0,0,20,go,7/20/2017 23:58,,87.20666667,45.72,254,489.3333333,1,791,703,777,874,25.8,23.1
0,0,210717,7/20/2017 21:04,0,0,21,go,7/20/2017 23:58,,103.505,45.72,257.81,483.5,1,794,420,776,936,25.8,23.1
0,0,210717,7/20/2017 21:04,0,0,22,go,7/20/2017 23:58,,99.06,45.72,258.2333333,486.3333333,9.666666667,783,889,777,764,25.8,23.1
0,0,210717,7/20/2017 21:04,0,0,23,go,7/20/2017 23:58,,102.4466667,45.72,258.2333333,485.6666667,1,784,797,777,750,25.7,23
0,0,210717,7/20/2017 21:04,0,0,24,go,7/20/2017 23:58,,103.2933333,45.72,306.4933333,487.3333333,1,NA,NA,NA,NA,NA,NA
0,0,210717,7/20/2017 21:04,0,0,25,go,7/20/2017 23:58,,118.11,45.72,257.175,486.5,1,789,530,775,775,25.7,23
0,0,210717,7/20/2017 21:04,0,0,26,go,7/20/2017 23:58,,122.7666667,45.72,486.8333333,485,1,788,759,777,797,25.6,22.9
0,0,210717,7/20/2017 21:04,0,0,27,go,7/20/2017 23:58,,109.22,45.72,595.2066667,486.3333333,1,798,334,775,1047,25.6,22.9
0,0,210717,7/20/2017 21:04,0,0,28,go,7/20/2017 23:58,,116.84,45.72,397.9333333,483.6666667,1,794,948,778,734,25.4,22.8
