"","LidarLeft","USLeft","LidarRight","USRight","USRear","CO","P25","SO","P10","O3","NO","timestamp","sensor","DateN","TimeN","Time","sequenceTime"
"1","1140.00","248.92","843.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201300.092,"proximity","190717","201300",2017-07-21 20:13:00,1
"2","1141.00","246.38","1.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201300.092,"proximity","190717","201300",2017-07-21 20:13:00,2
"3","1152.00","248.92","594.00","629.92","642.62","779.00","8.00","724.00","8.90","853.00","805.00",190717201301.092,"proximity","190717","201301",2017-07-21 20:13:01,3
"4","1152.00","251.46","595.00","652.78","642.62",NA,NA,NA,NA,NA,NA,190717201301.092,"proximity","190717","201301",2017-07-21 20:13:01,4
"5","1145.00","254.00","599.00","629.92","640.08",NA,NA,NA,NA,NA,NA,190717201301.092,"proximity","190717","201301",2017-07-21 20:13:01,5
"6","1154.00","246.38","594.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201302.092,"proximity","190717","201302",2017-07-21 20:13:02,6
"7","1150.00","248.92","598.00","629.92","642.62","783.00","8.20","845.00","9.10","618.00","614.00",190717201302.092,"proximity","190717","201302",2017-07-21 20:13:02,7
"8","1155.00","248.92","590.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201302.092,"proximity","190717","201302",2017-07-21 20:13:02,8
"9","1152.00","248.92","599.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201302.092,"proximity","190717","201302",2017-07-21 20:13:02,9
"10","1154.00","246.38","595.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201303.092,"proximity","190717","201303",2017-07-21 20:13:03,10
"11","1147.00","254.00","601.00","632.46","642.62","777.00","8.30","880.00","9.20","766.00","786.00",190717201303.092,"proximity","190717","201303",2017-07-21 20:13:03,11
"12","1152.00","248.92","591.00","652.78","642.62",NA,NA,NA,NA,NA,NA,190717201303.092,"proximity","190717","201303",2017-07-21 20:13:03,12
"13","1150.00","248.92","596.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201303.092,"proximity","190717","201303",2017-07-21 20:13:03,13
"14","1149.00","248.92","1.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201304.092,"proximity","190717","201304",2017-07-21 20:13:04,14
"15","1144.00","243.84","1.00","629.92","642.62","784.00","8.50","409.00","9.50","1142.00","1010.00",190717201304.092,"proximity","190717","201304",2017-07-21 20:13:04,15
"16","1151.00","251.46","1.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201304.092,"proximity","190717","201304",2017-07-21 20:13:04,16
"17","1151.00","246.38","594.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201305.092,"proximity","190717","201305",2017-07-21 20:13:05,17
"18","1142.00","246.38","591.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201305.092,"proximity","190717","201305",2017-07-21 20:13:05,18
"19","1145.00","248.92","598.00","632.46","642.62","776.00","8.50","1117.00","9.50","535.00","601.00",190717201305.092,"proximity","190717","201305",2017-07-21 20:13:05,19
"20","1145.00","325.12","599.00","652.78","642.62",NA,NA,NA,NA,NA,NA,190717201305.092,"proximity","190717","201305",2017-07-21 20:13:05,20
"21","1143.00","266.70","1.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201306.081,"proximity","190717","201306",2017-07-21 20:13:06,21
"22","1147.00","243.84","1.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201306.081,"proximity","190717","201306",2017-07-21 20:13:06,22
"23","1144.00","243.84","1.00","629.92","642.62","781.00","8.60","877.00","9.60","742.00","755.00",190717201306.081,"proximity","190717","201306",2017-07-21 20:13:06,23
"24","1148.00","246.38","1.00","652.78","642.62",NA,NA,NA,NA,NA,NA,190717201306.081,"proximity","190717","201306",2017-07-21 20:13:06,24
"25","1140.00","246.38","598.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201307.302,"proximity","190717","201307",2017-07-21 20:13:07,25
"26","1154.00","243.84","605.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201307.302,"proximity","190717","201307",2017-07-21 20:13:07,26
"27","1151.00","243.84","1.00","629.92","642.62","785.00","8.60","485.00","9.60","996.00","888.00",190717201307.302,"proximity","190717","201307",2017-07-21 20:13:07,27
"28","1146.00","243.84","1.00","652.78","642.62",NA,NA,NA,NA,NA,NA,190717201308.302,"proximity","190717","201308",2017-07-21 20:13:08,28
"29","1151.00","325.12","591.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201308.302,"proximity","190717","201308",2017-07-21 20:13:08,29
"30","1154.00","246.38","601.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201308.302,"proximity","190717","201308",2017-07-21 20:13:08,30
"31","1152.00","254.00","604.00","632.46","642.62","775.00","8.70","1003.00","9.70","635.00","662.00",190717201308.302,"proximity","190717","201308",2017-07-21 20:13:08,31
"32","1150.00","246.38","598.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201309.302,"proximity","190717","201309",2017-07-21 20:13:09,32
"33","1142.00","246.38","598.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201309.302,"proximity","190717","201309",2017-07-21 20:13:09,33
"34","1140.00","246.38","599.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201309.302,"proximity","190717","201309",2017-07-21 20:13:09,34
"35","1149.00","246.38","588.00","576.58","642.62","774.00","8.80","672.00","9.80","935.00","914.00",190717201309.302,"proximity","190717","201309",2017-07-21 20:13:09,35
"36","1157.00","248.92","602.00","579.12","640.08",NA,NA,NA,NA,NA,NA,190717201310.302,"proximity","190717","201310",2017-07-21 20:13:10,36
"37","1149.00","248.92","597.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201310.302,"proximity","190717","201310",2017-07-21 20:13:10,37
"38","1142.00","246.38","599.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201310.302,"proximity","190717","201310",2017-07-21 20:13:10,38
"39","1144.00","246.38","588.00","632.46","642.62","779.00","8.90","607.00","9.90","888.00","828.00",190717201311.302,"proximity","190717","201311",2017-07-21 20:13:11,39
"40","1146.00","246.38","596.00","655.32","645.16",NA,NA,NA,NA,NA,NA,190717201311.302,"proximity","190717","201311",2017-07-21 20:13:11,40
"41","1153.00","248.92","597.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201311.302,"proximity","190717","201311",2017-07-21 20:13:11,41
"42","1152.00","243.84","609.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201312.081,"proximity","190717","201312",2017-07-21 20:13:12,42
"43","1155.00","248.92","616.00","632.46","642.62","778.00","9.00","920.00","10.10","683.00","720.00",190717201312.081,"proximity","190717","201312",2017-07-21 20:13:12,43
"44","1159.00","251.46","614.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201312.081,"proximity","190717","201312",2017-07-21 20:13:12,44
"45","1155.00","251.46","610.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201312.081,"proximity","190717","201312",2017-07-21 20:13:12,45
"46","1160.00","251.46","618.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201312.081,"proximity","190717","201312",2017-07-21 20:13:12,46
"47","1143.00","40.64","603.00","63.50","637.54","777.00","9.20","815.00","10.30","799.00","815.00",190717201313.302,"proximity","190717","201313",2017-07-21 20:13:13,47
"48","1152.00","256.54","597.00","83.82","637.54",NA,NA,NA,NA,NA,NA,190717201313.302,"proximity","190717","201313",2017-07-21 20:13:13,48
"49","1148.00","248.92","606.00","576.58","642.62",NA,NA,NA,NA,NA,NA,190717201313.302,"proximity","190717","201313",2017-07-21 20:13:13,49
"50","1154.00","254.00","604.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201313.302,"proximity","190717","201313",2017-07-21 20:13:13,50
"51","1152.00","248.92","595.00","632.46","642.62","778.00","9.20","1096.00","10.40","513.00","569.00",190717201314.302,"proximity","190717","201314",2017-07-21 20:13:14,51
"52","1155.00","248.92","594.00","652.78","642.62",NA,NA,NA,NA,NA,NA,190717201314.302,"proximity","190717","201314",2017-07-21 20:13:14,52
"53","1144.00","248.92","604.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201314.302,"proximity","190717","201314",2017-07-21 20:13:14,53
"54","1154.00","248.92","602.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201315.302,"proximity","190717","201315",2017-07-21 20:13:15,54
"55","1143.00","248.92","612.00","632.46","642.62","777.00","9.30","859.00","10.40","743.00","749.00",190717201315.302,"proximity","190717","201315",2017-07-21 20:13:15,55
"56","1154.00","248.92","607.00","652.78","642.62",NA,NA,NA,NA,NA,NA,190717201315.302,"proximity","190717","201315",2017-07-21 20:13:15,56
"57","1145.00","246.38","668.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201315.302,"proximity","190717","201315",2017-07-21 20:13:15,57
"58","1138.00","246.38","1.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201316.302,"proximity","190717","201316",2017-07-21 20:13:16,58
"59","1132.00","243.84","1.00","632.46","642.62","783.00","9.30","379.00","10.50","1081.00","959.00",190717201316.302,"proximity","190717","201316",2017-07-21 20:13:16,59
"60","1130.00","243.84","1.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201316.302,"proximity","190717","201316",2017-07-21 20:13:16,60
"61","1119.00","243.84","1.00","629.92","642.62",NA,NA,NA,NA,NA,NA,190717201317.302,"proximity","190717","201317",2017-07-21 20:13:17,61
"62","1111.00","241.30","1.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201317.302,"proximity","190717","201317",2017-07-21 20:13:17,62
"63","1108.00","241.30","1.00","629.92","640.08","778.00","9.30","984.00","10.60","683.00","707.00",190717201317.302,"proximity","190717","201317",2017-07-21 20:13:17,63
"64","1112.00","243.84","1.00","652.78","642.62",NA,NA,NA,NA,NA,NA,190717201318.081,"proximity","190717","201318",2017-07-21 20:13:18,64
"65","1109.00","241.30","1926.00","629.92","640.08",NA,NA,NA,NA,NA,NA,190717201318.081,"proximity","190717","201318",2017-07-21 20:13:18,65
"66","1100.00","241.30","1.00","629.92","640.08",NA,NA,NA,NA,NA,NA,190717201318.081,"proximity","190717","201318",2017-07-21 20:13:18,66
"67","1147.00","241.30","679.00","629.92","642.62","780.00","9.30","853.00","10.60","755.00","738.00",190717201318.081,"proximity","190717","201318",2017-07-21 20:13:18,67
"68","1140.00","241.30","667.00","652.78","642.62",NA,NA,NA,NA,NA,NA,190717201319.302,"proximity","190717","201319",2017-07-21 20:13:19,68
"69","1081.00","241.30","1.00","632.46","642.62",NA,NA,NA,NA,NA,NA,190717201319.302,"proximity","190717","201319",2017-07-21 20:13:19,69
"70","1089.00","241.30","8035.00","48.26","637.54",NA,NA,NA,NA,NA,NA,190717201319.302,"proximity","190717","201319",2017-07-21 20:13:19,70
"71","1122.00","238.76","53.00","43.18","637.54","779.00","9.20","556.00","10.70","946.00","861.00",190717201319.302,"proximity","190717","201319",2017-07-21 20:13:19,71
"72","1130.00","238.76","49.00","48.26","637.54",NA,NA,NA,NA,NA,NA,190717201320.302,"proximity","190717","201320",2017-07-21 20:13:20,72
"73","40.00","236.22","65.00","40.64","637.54",NA,NA,NA,NA,NA,NA,190717201320.302,"proximity","190717","201320",2017-07-21 20:13:20,73
"74","30.00","233.68","1.00","45.72","637.54",NA,NA,NA,NA,NA,NA,190717201320.302,"proximity","190717","201320",2017-07-21 20:13:20,74
"75","29.00","15.24","1.00","58.42","637.54","776.00","9.20","872.00","10.60","740.00","732.00",190717201321.302,"proximity","190717","201321",2017-07-21 20:13:21,75
"76","330.00","15.24","1.00","68.58","637.54",NA,NA,NA,NA,NA,NA,190717201321.302,"proximity","190717","201321",2017-07-21 20:13:21,76
"77","300.00","223.52","1.00","66.04","637.54",NA,NA,NA,NA,NA,NA,190717201321.302,"proximity","190717","201321",2017-07-21 20:13:21,77
"78","317.00","220.98","1.00","60.96","637.54",NA,NA,NA,NA,NA,NA,190717201321.302,"proximity","190717","201321",2017-07-21 20:13:21,78
"79","282.00","223.52","1.00","63.50","637.54","779.00","9.20","778.00","10.60","791.00","785.00",190717201322.302,"proximity","190717","201322",2017-07-21 20:13:22,79
"80","270.00","220.98","1.00","63.50","637.54",NA,NA,NA,NA,NA,NA,190717201322.302,"proximity","190717","201322",2017-07-21 20:13:22,80
"81","279.00","220.98","1.00","63.50","635.00",NA,NA,NA,NA,NA,NA,190717201322.302,"proximity","190717","201322",2017-07-21 20:13:22,81
"82","291.00","233.68","1.00","58.42","637.54",NA,NA,NA,NA,NA,NA,190717201322.302,"proximity","190717","201322",2017-07-21 20:13:22,82
"83","292.00","223.52","1.00","60.96","637.54","781.00","9.10","1029.00","10.60","537.00","545.00",190717201323.302,"proximity","190717","201323",2017-07-21 20:13:23,83
"84","297.00","223.52","1.00","60.96","637.54",NA,NA,NA,NA,NA,NA,190717201323.302,"proximity","190717","201323",2017-07-21 20:13:23,84
"85","317.00","223.52","93.00","60.96","637.54",NA,NA,NA,NA,NA,NA,190717201324.097,"proximity","190717","201324",2017-07-21 20:13:24,85
"86","317.00","223.52","90.00","71.12","637.54",NA,NA,NA,NA,NA,NA,190717201324.097,"proximity","190717","201324",2017-07-21 20:13:24,86
"87","320.00","223.52","90.00","71.12","637.54","776.00","9.10","970.00","10.60","652.00","712.00",190717201324.097,"proximity","190717","201324",2017-07-21 20:13:24,87
"88","321.00","223.52","89.00","76.20","637.54",NA,NA,NA,NA,NA,NA,190717201324.097,"proximity","190717","201324",2017-07-21 20:13:24,88
"89","323.00","259.08","85.00","73.66","637.54",NA,NA,NA,NA,NA,NA,190717201325.097,"proximity","190717","201325",2017-07-21 20:13:25,89
"90","323.00","223.52","85.00","71.12","637.54",NA,NA,NA,NA,NA,NA,190717201325.097,"proximity","190717","201325",2017-07-21 20:13:25,90
"91","326.00","223.52","83.00","68.58","637.54","779.00","9.10","542.00","10.60","954.00","923.00",190717201325.097,"proximity","190717","201325",2017-07-21 20:13:25,91
"92","329.00","223.52","85.00","73.66","637.54",NA,NA,NA,NA,NA,NA,190717201326.097,"proximity","190717","201326",2017-07-21 20:13:26,92
"93","335.00","223.52","84.00","68.58","637.54",NA,NA,NA,NA,NA,NA,190717201326.097,"proximity","190717","201326",2017-07-21 20:13:26,93
"94","336.00","223.52","83.00","68.58","637.54",NA,NA,NA,NA,NA,NA,190717201326.097,"proximity","190717","201326",2017-07-21 20:13:26,94
"95","338.00","226.06","83.00","66.04","637.54","776.00","9.00","985.00","10.50","628.00","639.00",190717201326.097,"proximity","190717","201326",2017-07-21 20:13:26,95
"96","338.00","226.06","84.00","68.58","637.54",NA,NA,NA,NA,NA,NA,190717201327.097,"proximity","190717","201327",2017-07-21 20:13:27,96
"97","343.00","223.52","83.00","68.58","637.54",NA,NA,NA,NA,NA,NA,190717201327.097,"proximity","190717","201327",2017-07-21 20:13:27,97
"98","349.00","223.52","82.00","68.58","637.54",NA,NA,NA,NA,NA,NA,190717201327.097,"proximity","190717","201327",2017-07-21 20:13:27,98
"99","342.00","223.52","84.00","66.04","637.54","775.00","9.00","937.00","10.50","665.00","692.00",190717201327.097,"proximity","190717","201327",2017-07-21 20:13:27,99
"100","353.00","223.52","87.00","68.58","637.54",NA,NA,NA,NA,NA,NA,190717201328.097,"proximity","190717","201328",2017-07-21 20:13:28,100
"101","319.00","226.06","88.00","71.12","637.54",NA,NA,NA,NA,NA,NA,190717201328.097,"proximity","190717","201328",2017-07-21 20:13:28,101
"102","265.00","223.52","95.00","73.66","637.54",NA,NA,NA,NA,NA,NA,190717201328.097,"proximity","190717","201328",2017-07-21 20:13:28,102
"103","245.00","218.44","93.00","76.20","637.54","780.00","8.90","581.00","10.40","890.00","822.00",190717201328.097,"proximity","190717","201328",2017-07-21 20:13:28,103
"104","238.00","215.90","95.00","73.66","637.54",NA,NA,NA,NA,NA,NA,190717201329.097,"proximity","190717","201329",2017-07-21 20:13:29,104
"105","235.00","215.90","96.00","71.12","637.54",NA,NA,NA,NA,NA,NA,190717201329.097,"proximity","190717","201329",2017-07-21 20:13:29,105
"106","235.00","215.90","93.00","78.74","637.54",NA,NA,NA,NA,NA,NA,190717201329.097,"proximity","190717","201329",2017-07-21 20:13:29,106
