"","long","course","lat","speed","day","utc_time","DateN","TimeN","Time","sequenceTime"
"1","","0.00","","0.00","200717",140454.088,"140454",".088",NA,1
"2","","0.00","","0.00","200717",140455.309,"140455",".309",NA,2
"3","","0.00","","0.00","200717",140456.309,"140456",".309",NA,3
"4","","0.00","","0.00","200717",140457.309,"140457",".309",NA,4
"5","","0.00","","0.00","200717",140458.309,"140458",".309",NA,5
"6","","0.00","","0.00","200717",140459.309,"140459",".309",NA,6
"7","","0.00","","0.00","200717",140500.097,"140500",".097",NA,7
"8","","0.00","","0.00","200717",140501.097,"140501",".097",NA,8
"9","","0.00","","0.00","200717",140502.097,"140502",".097",NA,9
"10","","0.00","","0.00","200717",140503.097,"140503",".097",NA,10
"11","","0.00","","0.00","200717",140504.097,"140504",".097",NA,11
"12","","0.00","","0.00","200717",140505.097,"140505",".097",NA,12
"13","","0.00","","0.00","200717",140506.092,"140506",".092",NA,13
"14","","0.00","","0.00","200717",140507.311,"140507",".311",NA,14
"15","","0.00","","0.00","200717",140508.311,"140508",".311",NA,15
"16","","0.00","","0.00","200717",140509.311,"140509",".311",NA,16
"17","","0.00","","0.00","200717",140510.311,"140510",".311",NA,17
"18","","0.00","","0.00","200717",140511.311,"140511",".311",NA,18
"19","","0.00","","0.00","200717",140512.092,"140512",".092",NA,19
"20","","0.00","","0.00","200717",140513.311,"140513",".311",NA,20
"21","","0.00","","0.00","200717",140514.311,"140514",".311",NA,21
"22","","0.00","","0.00","200717",140515.311,"140515",".311",NA,22
"23","","0.00","","0.00","200717",140516.311,"140516",".311",NA,23
"24","","0.00","","0.00","200717",140517.311,"140517",".311",NA,24
"25","","0.00","","0.00","200717",140518.097,"140518",".097",NA,25
"26","","0.00","","0.00","200717",140519.097,"140519",".097",NA,26
"27","","0.00","","0.00","200717",140520.097,"140520",".097",NA,27
"28","","0.00","","0.00","200717",140521.097,"140521",".097",NA,28
"29","","0.00","","0.00","200717",140522.097,"140522",".097",NA,29
