"","LidarRight","LidarLeft","O3","P10","CO","SO","USRear","USLeft","USRight","P25","NO","timestamp","sensor","DateN","TimeN","Time","sequenceTime"
"1","293.00","117.00","825.00","18.90","795.00","1557.00","104.14","81.28","55.88","15.40","795.00",200717140454.088,"proximity","200717","140454",2017-07-21 14:04:54,1
"2","294.00","118.00",NA,NA,NA,NA,"104.14","81.28","55.88",NA,NA,200717140454.088,"proximity","200717","140454",2017-07-21 14:04:54,2
"3","293.00","116.00",NA,NA,NA,NA,"104.14","81.28","55.88",NA,NA,200717140454.088,"proximity","200717","140454",2017-07-21 14:04:54,3
"4","294.00","117.00",NA,NA,NA,NA,"104.14","83.82","55.88",NA,NA,200717140455.309,"proximity","200717","140455",2017-07-21 14:04:55,4
"5","294.00","116.00","503.00","18.30","793.00","1559.00","104.14","83.82","55.88","15.30","534.00",200717140455.309,"proximity","200717","140455",2017-07-21 14:04:55,5
"6","294.00","117.00",NA,NA,NA,NA,"104.14","83.82","55.88",NA,NA,200717140455.309,"proximity","200717","140455",2017-07-21 14:04:55,6
"7","294.00","117.00",NA,NA,NA,NA,"104.14","81.28","55.88",NA,NA,200717140455.309,"proximity","200717","140455",2017-07-21 14:04:55,7
"8","295.00","117.00",NA,NA,NA,NA,"104.14","81.28","55.88",NA,NA,200717140456.309,"proximity","200717","140456",2017-07-21 14:04:56,8
"9","292.00","117.00","711.00","17.70","792.00","1559.00","104.14","83.82","55.88","15.20","724.00",200717140456.309,"proximity","200717","140456",2017-07-21 14:04:56,9
"10","293.00","117.00",NA,NA,NA,NA,"104.14","83.82","55.88",NA,NA,200717140456.309,"proximity","200717","140456",2017-07-21 14:04:56,10
"11","294.00","117.00",NA,NA,NA,NA,"104.14","83.82","55.88",NA,NA,200717140456.309,"proximity","200717","140456",2017-07-21 14:04:56,11
"12","295.00","118.00",NA,NA,NA,NA,"104.14","83.82","55.88",NA,NA,200717140457.309,"proximity","200717","140457",2017-07-21 14:04:57,12
"13","294.00","117.00","1103.00","17.10","794.00","1096.00","104.14","83.82","55.88","15.00","995.00",200717140457.309,"proximity","200717","140457",2017-07-21 14:04:57,13
"14","294.00","117.00",NA,NA,NA,NA,"104.14","81.28","55.88",NA,NA,200717140457.309,"proximity","200717","140457",2017-07-21 14:04:57,14
"15","295.00","118.00",NA,NA,NA,NA,"104.14","81.28","55.88",NA,NA,200717140458.309,"proximity","200717","140458",2017-07-21 14:04:58,15
"16","294.00","117.00",NA,NA,NA,NA,"104.14","81.28","55.88",NA,NA,200717140458.309,"proximity","200717","140458",2017-07-21 14:04:58,16
"17","293.00","117.00","630.00","17.10","791.00","1256.00","104.14","81.28","55.88","15.10","634.00",200717140458.309,"proximity","200717","140458",2017-07-21 14:04:58,17
"18","293.00","116.00",NA,NA,NA,NA,"104.14","81.28","55.88",NA,NA,200717140458.309,"proximity","200717","140458",2017-07-21 14:04:58,18
