"","humidity","temperature","pressure","altitude","oms_risk","uv_index","timestamp","sensor","DateN","TimeN","Time","sequenceTime"
"1",0,NA,NA,NA,NA,NA,200717140454.088,"humidity","200717","140454",2017-07-21 14:04:54,1
"2",NA,0,0,0,NA,NA,200717140454.088,"pressure_temperature","200717","140454",2017-07-21 14:04:54,2
"3",NA,NA,NA,NA,"Low",0,200717140455.309,"ultraviolet","200717","140455",2017-07-21 14:04:55,3
"4",NA,NA,NA,NA,"Low",0,200717140457.309,"ultraviolet","200717","140457",2017-07-21 14:04:57,4
"5",0,NA,NA,NA,NA,NA,200717140459.309,"humidity","200717","140459",2017-07-21 14:04:59,5
"6",NA,0,0,0,NA,NA,200717140459.309,"pressure_temperature","200717","140459",2017-07-21 14:04:59,6
"7",NA,NA,NA,NA,"Low",0,200717140459.309,"ultraviolet","200717","140459",2017-07-21 14:04:59,7
"8",NA,NA,NA,NA,"Low",0,200717140501.097,"ultraviolet","200717","140501",2017-07-21 14:05:01,8
"9",NA,NA,NA,NA,"Low",0,200717140503.097,"ultraviolet","200717","140503",2017-07-21 14:05:03,9
"10",0,NA,NA,NA,NA,NA,200717140504.097,"humidity","200717","140504",2017-07-21 14:05:04,10
"11",NA,0,0,0,NA,NA,200717140504.097,"pressure_temperature","200717","140504",2017-07-21 14:05:04,11
"12",NA,NA,NA,NA,"Low",0,200717140505.097,"ultraviolet","200717","140505",2017-07-21 14:05:05,12
"13",NA,NA,NA,NA,"Low",0,200717140507.311,"ultraviolet","200717","140507",2017-07-21 14:05:07,13
"14",0,NA,NA,NA,NA,NA,200717140509.311,"humidity","200717","140509",2017-07-21 14:05:09,14
"15",NA,0,0,0,NA,NA,200717140509.311,"pressure_temperature","200717","140509",2017-07-21 14:05:09,15
"16",NA,NA,NA,NA,"Low",0,200717140509.311,"ultraviolet","200717","140509",2017-07-21 14:05:09,16
"17",NA,NA,NA,NA,"Low",0,200717140511.311,"ultraviolet","200717","140511",2017-07-21 14:05:11,17
"18",NA,NA,NA,NA,"Low",0,200717140513.311,"ultraviolet","200717","140513",2017-07-21 14:05:13,18
"19",0,NA,NA,NA,NA,NA,200717140514.311,"humidity","200717","140514",2017-07-21 14:05:14,19
"20",NA,0,0,0,NA,NA,200717140514.311,"pressure_temperature","200717","140514",2017-07-21 14:05:14,20
"21",NA,NA,NA,NA,"Low",0,200717140515.311,"ultraviolet","200717","140515",2017-07-21 14:05:15,21
"22",NA,NA,NA,NA,"Low",0,200717140517.311,"ultraviolet","200717","140517",2017-07-21 14:05:17,22
"23",0,NA,NA,NA,NA,NA,200717140519.097,"humidity","200717","140519",2017-07-21 14:05:19,23
"24",NA,0,0,0,NA,NA,200717140519.097,"pressure_temperature","200717","140519",2017-07-21 14:05:19,24
"25",NA,NA,NA,NA,"Low",0,200717140519.097,"ultraviolet","200717","140519",2017-07-21 14:05:19,25
"26",NA,NA,NA,NA,"Low",0,200717140521.097,"ultraviolet","200717","140521",2017-07-21 14:05:21,26
"27",NA,NA,NA,NA,"Low",0,200717140523.097,"ultraviolet","200717","140523",2017-07-21 14:05:23,27
"28",0,NA,NA,NA,NA,NA,200717140524.083,"humidity","200717","140524",2017-07-21 14:05:24,28
"29",NA,0,0,0,NA,NA,200717140524.083,"pressure_temperature","200717","140524",2017-07-21 14:05:24,29
"30",NA,NA,NA,NA,"Low",0.340026766061783,200717140750.086,"ultraviolet","200717","140750",2017-07-21 14:07:50,30
"31",NA,NA,NA,NA,"Low",0.43239626288414,200717140752.086,"ultraviolet","200717","140752",2017-07-21 14:07:52,31
"32",68.1640472412109,NA,NA,NA,NA,NA,200717140753.086,"humidity","200717","140753",2017-07-21 14:07:53,32
"33",NA,32.375,98606.25,228.25,NA,NA,200717140753.086,"pressure_temperature","200717","140753",2017-07-21 14:07:53,33
