"","long","course","lat","speed","day","utc_time","DateN","TimeN","Time","sequenceTime"
"1","","0.00","","0.00","200717",305.094,"305.09","4",NA,1
"2","","0.00","","0.00","200717",306.094,"306.09","4",NA,2
"3","","0.00","","0.00","200717",307.094,"307.09","4",NA,3
"4","","0.00","","0.00","200717",308.094,"308.09","4",NA,4
"5","","0.00","","0.00","200717",309.094,"309.09","4",NA,5
"6","","0.00","","0.00","200717",310.094,"310.09","4",NA,6
"7","","0.00","","0.00","200717",311.094,"311.09","4",NA,7
"8","","0.00","","0.00","200717",312.092,"312.09","2",NA,8
"9","","0.00","","0.00","200717",313.092,"313.09","2",NA,9
"10","","0.00","","0.00","200717",314.092,"314.09","2",NA,10
"11","","0.00","","0.00","200717",315.092,"315.09","2",NA,11
"12","","0.00","","0.00","200717",316.092,"316.09","2",NA,12
"13","","0.00","","0.00","200717",317.092,"317.09","2",NA,13
"14","","0.00","","0.06","200717",318.085,"318.08","5",NA,14
"15","","0.00","","0.14","200717",319.085,"319.08","5",NA,15
"16","","0.00","","0.06","200717",321,"321","",NA,16
"17","08423.3889","0.00","3346.6354","0.41","200717",322,"322","",NA,17
"18","08423.3886","0.00","3346.6356","0.30","200717",323,"323","",NA,18
"19","08423.3885","0.00","3346.6357","0.38","200717",324,"324","",NA,19
"20","08423.3883","0.00","3346.6356","0.41","200717",326,"326","",NA,20
"21","08423.3881","0.00","3346.6356","0.30","200717",327,"327","",NA,21
"22","08423.3879","0.00","3346.6360","0.27","200717",328,"328","",NA,22
"23","08423.3878","0.00","3346.6363","0.18","200717",329,"329","",NA,23
"24","08423.3877","0.00","3346.6363","0.25","200717",330,"330","",NA,24
"25","08423.3877","0.00","3346.6367","0.17","200717",332,"332","",NA,25
"26","08423.3876","0.00","3346.6370","0.50","200717",333,"333","",NA,26
"27","08423.3879","356.87","3346.6375","0.62","200717",334,"334","",NA,27
"28","08423.3880","356.87","3346.6377","0.42","200717",335,"335","",NA,28
"29","08423.3878","356.87","3346.6378","0.26","200717",336,"336","",NA,29
"30","08423.3877","356.87","3346.6377","0.08","200717",337,"337","",NA,30
"31","08423.3877","356.87","3346.6378","0.35","200717",338,"338","",NA,31
"32","08423.3878","356.87","3346.6379","0.27","200717",339,"339","",NA,32
"33","08423.3878","356.87","3346.6380","0.24","200717",340,"340","",NA,33
"34","08423.3879","356.87","3346.6379","0.21","200717",341,"341","",NA,34
"35","08423.3878","356.87","3346.6376","0.20","200717",342,"342","",NA,35
"36","08423.3878","356.87","3346.6374","0.17","200717",343,"343","",NA,36
"37","08423.3877","356.87","3346.6373","0.19","200717",344,"344","",NA,37
"38","08423.3877","356.87","3346.6374","0.24","200717",345,"345","",NA,38
"39","08423.3875","356.87","3346.6375","0.17","200717",346,"346","",NA,39
"40","08423.3872","356.87","3346.6376","0.08","200717",347,"347","",NA,40
"41","08423.3871","356.87","3346.6377","0.11","200717",348,"348","",NA,41
"42","08423.3870","356.87","3346.6377","0.09","200717",349,"349","",NA,42
"43","08423.3869","356.87","3346.6377","0.10","200717",350,"350","",NA,43
"44","08423.3870","356.87","3346.6378","0.13","200717",351,"351","",NA,44
"45","08423.3871","356.87","3346.6378","0.12","200717",352,"352","",NA,45
"46","08423.3872","356.87","3346.6378","0.11","200717",353,"353","",NA,46
"47","08423.3874","356.87","3346.6377","0.08","200717",354,"354","",NA,47
"48","08423.3854","356.87","3346.6380","0.55","200717",355,"355","",NA,48
"49","08423.3859","356.87","3346.6380","0.51","200717",356,"356","",NA,49
"50","08423.3858","356.87","3346.6382","0.54","200717",357,"357","",NA,50
"51","08423.3856","356.87","3346.6380","0.53","200717",358,"358","",NA,51
"52","08423.3859","356.87","3346.6378","0.56","200717",359,"359","",NA,52
"53","08423.3855","73.94","3346.6379","0.62","200717",400,"400","",NA,53
"54","08423.3855","75.83","3346.6378","0.62","200717",401,"401","",NA,54
"55","08423.3856","75.83","3346.6377","0.62","200717",402,"402","",NA,55
"56","08423.3855","75.83","3346.6378","0.61","200717",403,"403","",NA,56
"57","08423.3854","75.83","3346.6378","0.57","200717",404,"404","",NA,57
"58","08423.3853","75.83","3346.6378","0.53","200717",405,"405","",NA,58
"59","08423.3851","75.83","3346.6380","0.51","200717",406,"406","",NA,59
"60","08423.3848","75.83","3346.6381","0.50","200717",407,"407","",NA,60
"61","08423.3845","75.83","3346.6382","0.49","200717",408,"408","",NA,61
"62","08423.3845","61.21","3346.6383","0.52","200717",409,"409","",NA,62
"63","08423.3844","61.86","3346.6382","0.55","200717",410,"410","",NA,63
"64","08423.3842","64.35","3346.6381","0.58","200717",411,"411","",NA,64
"65","08423.3842","43.68","3346.6385","0.60","200717",412,"412","",NA,65
"66","08423.3843","42.60","3346.6387","0.62","200717",413,"413","",NA,66
"67","08423.3844","37.62","3346.6387","0.65","200717",414,"414","",NA,67
"68","08423.3844","56.84","3346.6384","0.67","200717",415,"415","",NA,68
"69","08423.3843","56.62","3346.6386","1.02","200717",416,"416","",NA,69
"70","08423.3840","75.33","3346.6385","1.34","200717",417,"417","",NA,70
"71","08423.3839","81.69","3346.6384","1.30","200717",418,"418","",NA,71
"72","08423.3842","98.92","3346.6382","0.77","200717",419,"419","",NA,72
"73","08423.3842","96.85","3346.6382","0.74","200717",420,"420","",NA,73
"74","08423.3840","95.96","3346.6381","0.70","200717",421,"421","",NA,74
"75","08423.3843","95.96","3346.6382","0.54","200717",422,"422","",NA,75
"76","08423.3844","95.96","3346.6382","0.50","200717",423,"423","",NA,76
"77","08423.3846","95.96","3346.6382","0.29","200717",424,"424","",NA,77
"78","08423.3848","95.79","3346.6380","0.23","200717",425,"425","",NA,78
"79","08423.3852","95.87","3346.6378","0.04","200717",426,"426","",NA,79
"80","08423.3856","95.85","3346.6375","0.07","200717",427,"427","",NA,80
"81","08423.3858","95.83","3346.6374","0.05","200717",428,"428","",NA,81
"82","08423.3861","95.81","3346.6370","0.12","200717",429,"429","",NA,82
"83","08423.3862","95.81","3346.6367","0.14","200717",430,"430","",NA,83
"84","08423.3867","95.81","3346.6366","0.20","200717",431,"431","",NA,84
"85","08423.3868","95.81","3346.6363","0.22","200717",432,"432","",NA,85
"86","08423.3871","95.81","3346.6353","0.23","200717",433,"433","",NA,86
"87","08423.3873","95.81","3346.6347","0.21","200717",434,"434","",NA,87
"88","08423.3874","95.81","3346.6340","0.19","200717",435,"435","",NA,88
"89","08423.3874","95.81","3346.6336","0.21","200717",436,"436","",NA,89
"90","08423.3875","99.85","3346.6332","0.60","200717",437,"437","",NA,90
"91","08423.3874","104.75","3346.6331","0.63","200717",438,"438","",NA,91
"92","08423.3882","110.44","3346.6320","0.84","200717",439,"439","",NA,92
"93","08423.3879","116.66","3346.6324","0.63","200717",440,"440","",NA,93
"94","08423.3886","119.47","3346.6319","0.45","200717",441,"441","",NA,94
"95","08423.3889","120.78","3346.6319","0.48","200717",442,"442","",NA,95
"96","08423.3885","120.30","3346.6321","0.65","200717",443,"443","",NA,96
"97","08423.3888","120.47","3346.6320","0.19","200717",444,"444","",NA,97
"98","08423.3888","120.42","3346.6320","0.19","200717",445,"445","",NA,98
"99","08423.3888","120.90","3346.6321","0.17","200717",446,"446","",NA,99
"100","08423.3889","120.99","3346.6318","0.16","200717",447,"447","",NA,100
"101","08423.3889","121.45","3346.6318","0.36","200717",448,"448","",NA,101
"102","08423.3889","121.45","3346.6317","0.44","200717",449,"449","",NA,102
"103","08423.3890","121.45","3346.6315","0.54","200717",450,"450","",NA,103
"104","08423.3891","214.27","3346.6314","1.10","200717",451,"451","",NA,104
"105","08423.3896","203.75","3346.6309","1.08","200717",452,"452","",NA,105
"106","08423.3900","205.11","3346.6303","1.07","200717",453,"453","",NA,106
"107","08423.3898","203.78","3346.6298","1.26","200717",454,"454","",NA,107
"108","08423.3897","200.35","3346.6292","1.50","200717",455,"455","",NA,108
"109","08423.3887","195.29","3346.6275","2.27","200717",456,"456","",NA,109
"110","08423.3883","189.96","3346.6262","2.90","200717",457,"457","",NA,110
"111","08423.3880","186.06","3346.6251","3.10","200717",458,"458","",NA,111
"112","08423.3878","180.31","3346.6241","5.09","200717",459,"459","",NA,112
"113","08423.3870","174.75","3346.6234","5.32","200717",500,"500","",NA,113
"114","08423.3856","169.03","3346.6228","5.37","200717",501,"501","",NA,114
"115","08423.3842","162.55","3346.6224","4.58","200717",502,"502","",NA,115
"116","08423.3827","156.22","3346.6219","5.86","200717",503,"503","",NA,116
"117","08423.3813","150.30","3346.6211","5.64","200717",504,"504","",NA,117
"118","08423.3797","144.84","3346.6205","5.69","200717",505,"505","",NA,118
"119","08423.3781","114.98","3346.6193","6.12","200717",506,"506","",NA,119
"120","08423.3766","116.70","3346.6183","6.15","200717",507,"507","",NA,120
"121","08423.3752","115.99","3346.6173","6.50","200717",508,"508","",NA,121
"122","08423.3738","114.91","3346.6170","5.59","200717",509,"509","",NA,122
"123","08423.3722","114.24","3346.6161","6.30","200717",510,"510","",NA,123
"124","08423.3706","113.51","3346.6155","5.57","200717",511,"511","",NA,124
"125","08423.3690","98.49","3346.6148","5.39","200717",512,"512","",NA,125
"126","08423.3673","97.07","3346.6143","6.03","200717",513,"513","",NA,126
"127","08423.3655","97.80","3346.6135","6.71","200717",514,"514","",NA,127
"128","08423.3635","98.96","3346.6127","7.00","200717",515,"515","",NA,128
"129","08423.3608","99.54","3346.6139","6.45","200717",516,"516","",NA,129
"130","08423.3582","98.91","3346.6154","5.91","200717",517,"517","",NA,130
"131","08423.3556","92.45","3346.6172","6.64","200717",518,"518","",NA,131
"132","08423.3525","92.81","3346.6196","6.66","200717",519,"519","",NA,132
"133","08423.3498","93.60","3346.6209","6.70","200717",520,"520","",NA,133
"134","08423.3474","94.34","3346.6217","6.23","200717",521,"521","",NA,134
"135","08423.3449","97.65","3346.6231","6.06","200717",522,"522","",NA,135
"136","08423.3429","99.40","3346.6235","5.56","200717",523,"523","",NA,136
"137","08423.3405","98.64","3346.6246","4.67","200717",524,"524","",NA,137
"138","08423.3387","99.82","3346.6253","5.28","200717",525,"525","",NA,138
"139","08423.3372","98.73","3346.6263","4.11","200717",526,"526","",NA,139
"140","08423.3357","98.05","3346.6270","4.29","200717",527,"527","",NA,140
"141","08423.3346","97.84","3346.6271","2.01","200717",528,"528","",NA,141
"142","08423.3340","98.04","3346.6270","2.24","200717",529,"529","",NA,142
"143","08423.3339","97.68","3346.6267","0.07","200717",530,"530","",NA,143
"144","08423.3339","98.00","3346.6263","0.06","200717",531,"531","",NA,144
"145","08423.3336","97.83","3346.6257","0.08","200717",532,"532","",NA,145
"146","08423.3335","97.84","3346.6249","0.16","200717",533,"533","",NA,146
"147","08423.3332","97.85","3346.6246","0.12","200717",534,"534","",NA,147
"148","08423.3328","97.85","3346.6244","0.00","200717",535,"535","",NA,148
"149","08423.3328","97.85","3346.6244","0.00","200717",536,"536","",NA,149
"150","08423.3328","97.85","3346.6244","0.00","200717",537,"537","",NA,150
"151","08423.3326","97.85","3346.6243","0.00","200717",538,"538","",NA,151
"152","08423.3326","97.85","3346.6243","0.00","200717",539,"539","",NA,152
"153","08423.3318","129.68","3346.6238","4.78","200717",540,"540","",NA,153
"154","08423.3320","137.11","3346.6236","3.15","200717",541,"541","",NA,154
"155","08423.3315","133.09","3346.6234","2.30","200717",542,"542","",NA,155
"156","08423.3319","308.99","3346.6229","2.55","200717",543,"543","",NA,156
"157","08423.3324","310.83","3346.6230","0.77","200717",544,"544","",NA,157
"158","08423.3326","312.57","3346.6231","0.77","200717",545,"545","",NA,158
"159","08423.3327","312.57","3346.6229","0.08","200717",546,"546","",NA,159
"160","08423.3325","108.59","3346.6228","0.62","200717",547,"547","",NA,160
"161","08423.3321","109.54","3346.6226","1.10","200717",548,"548","",NA,161
"162","08423.3318","110.91","3346.6224","1.09","200717",549,"549","",NA,162
"163","08423.3309","112.87","3346.6221","2.31","200717",550,"550","",NA,163
"164","08423.3307","114.39","3346.6217","2.39","200717",551,"551","",NA,164
"165","08423.3299","114.96","3346.6208","3.66","200717",552,"552","",NA,165
"166","08423.3291","115.46","3346.6201","4.98","200717",553,"553","",NA,166
"167","08423.3279","114.99","3346.6192","5.46","200717",554,"554","",NA,167
"168","08423.3262","113.99","3346.6178","6.18","200717",555,"555","",NA,168
"169","08423.3243","112.61","3346.6170","6.89","200717",556,"556","",NA,169
"170","08423.3222","111.01","3346.6166","7.61","200717",557,"557","",NA,170
"171","08423.3196","96.30","3346.6161","8.85","200717",558,"558","",NA,171
"172","08423.3170","94.26","3346.6159","8.41","200717",559,"559","",NA,172
"173","08423.3143","96.02","3346.6156","8.34","200717",600,"600","",NA,173
"174","08423.3117","93.06","3346.6153","8.00","200717",601,"601","",NA,174
"175","08423.3089","86.39","3346.6153","8.95","200717",602,"602","",NA,175
"176","08423.3061","79.13","3346.6154","9.40","200717",603,"603","",NA,176
"177","08423.3033","79.70","3346.6153","9.36","200717",604,"604","",NA,177
"178","08423.3005","80.24","3346.6150","8.21","200717",605,"605","",NA,178
"179","08423.2980","81.05","3346.6149","7.84","200717",606,"606","",NA,179
"180","08423.2954","94.82","3346.6142","8.40","200717",607,"607","",NA,180
"181","08423.2927","94.44","3346.6136","7.80","200717",608,"608","",NA,181
"182","08423.2901","94.22","3346.6132","8.07","200717",609,"609","",NA,182
"183","08423.2876","93.67","3346.6126","7.81","200717",610,"610","",NA,183
"184","08423.2852","92.97","3346.6122","7.83","200717",611,"611","",NA,184
"185","08423.2830","91.94","3346.6120","7.88","200717",612,"612","",NA,185
"186","08423.2805","91.34","3346.6118","7.82","200717",613,"613","",NA,186
"187","08423.2783","82.15","3346.6116","8.52","200717",614,"614","",NA,187
"188","08423.2759","84.70","3346.6116","7.55","200717",615,"615","",NA,188
"189","08423.2737","87.23","3346.6115","7.75","200717",616,"616","",NA,189
"190","08423.2713","87.75","3346.6114","6.62","200717",617,"617","",NA,190
"191","08423.2688","88.39","3346.6115","7.93","200717",618,"618","",NA,191
"192","08423.2661","88.91","3346.6118","8.37","200717",619,"619","",NA,192
"193","08423.2631","90.22","3346.6119","6.50","200717",620,"620","",NA,193
"194","08423.2606","90.90","3346.6118","5.47","200717",621,"621","",NA,194
"195","08423.2581","92.73","3346.6116","8.31","200717",622,"622","",NA,195
"196","08423.2557","104.89","3346.6113","8.24","200717",623,"623","",NA,196
"197","08423.2536","114.07","3346.6106","7.62","200717",624,"624","",NA,197
"198","08423.2517","134.25","3346.6095","8.53","200717",625,"625","",NA,198
