"","USRear","LidarRight","LidarLeft","USRight","USLeft","SO","CO","O3","P10","NO","P25","timestamp","sensor","DateN","TimeN","Time","sequenceTime"
"1","670.56","37.00","160.00","17.78","139.70",NA,NA,NA,NA,NA,NA,200717000307.094,"proximity","200717","000307",2017-07-21 00:03:07,1
"2","675.64","35.00","159.00","17.78","142.24",NA,NA,NA,NA,NA,NA,200717000308.094,"proximity","200717","000308",2017-07-21 00:03:08,2
"3","668.02","39.00","160.00","17.78","116.84",NA,NA,NA,NA,NA,NA,200717000308.094,"proximity","200717","000308",2017-07-21 00:03:08,3
"4","673.10","37.00","159.00","17.78","139.70","4095.00","4095.00","4095.00","12.20","4095.00","11.00",200717000308.094,"proximity","200717","000308",2017-07-21 00:03:08,4
"5","668.02","38.00","161.00","17.78","142.24",NA,NA,NA,NA,NA,NA,200717000309.094,"proximity","200717","000309",2017-07-21 00:03:09,5
"6","640.08","40.00","159.00","17.78","142.24",NA,NA,NA,NA,NA,NA,200717000309.094,"proximity","200717","000309",2017-07-21 00:03:09,6
"7","660.40","38.00","160.00","17.78","142.24",NA,NA,NA,NA,NA,NA,200717000309.094,"proximity","200717","000309",2017-07-21 00:03:09,7
"8","647.70","39.00","160.00","17.78","142.24","4095.00","4095.00","4095.00","12.20","4095.00","11.00",200717000309.094,"proximity","200717","000309",2017-07-21 00:03:09,8
"9","599.44","33.00","161.00","17.78","50.80",NA,NA,NA,NA,NA,NA,200717000310.094,"proximity","200717","000310",2017-07-21 00:03:10,9
"10","543.56","39.00","162.00","17.78","30.48",NA,NA,NA,NA,NA,NA,200717000310.094,"proximity","200717","000310",2017-07-21 00:03:10,10
"11","358.14","40.00","160.00","17.78","142.24",NA,NA,NA,NA,NA,NA,200717000310.094,"proximity","200717","000310",2017-07-21 00:03:10,11
"12","635.00","40.00","160.00","17.78","139.70","4095.00","4095.00","4095.00","12.10","4095.00","10.90",200717000311.094,"proximity","200717","000311",2017-07-21 00:03:11,12
"13","325.12","42.00","159.00","17.78","139.70",NA,NA,NA,NA,NA,NA,200717000311.094,"proximity","200717","000311",2017-07-21 00:03:11,13
"14","695.96","43.00","161.00","17.78","142.24",NA,NA,NA,NA,NA,NA,200717000311.094,"proximity","200717","000311",2017-07-21 00:03:11,14
"15","690.88","43.00","163.00","17.78","167.64",NA,NA,NA,NA,NA,NA,200717000311.094,"proximity","200717","000311",2017-07-21 00:03:11,15
"16","561.34","42.00","161.00","15.24","142.24","4095.00","4095.00","4095.00","12.10","4095.00","10.90",200717000312.092,"proximity","200717","000312",2017-07-21 00:03:12,16
"17","642.62","45.00","161.00","17.78","139.70",NA,NA,NA,NA,NA,NA,200717000312.092,"proximity","200717","000312",2017-07-21 00:03:12,17
"18","665.48","43.00","161.00","17.78","139.70",NA,NA,NA,NA,NA,NA,200717000312.092,"proximity","200717","000312",2017-07-21 00:03:12,18
