long,course,lat,speed,day,utc_time,Time
NA,0,NA,0,200717,13718.097,NA
NA,0,NA,0,200717,13719.097,NA
NA,0,NA,0,200717,13720.097,NA
NA,0,NA,0,200717,13721.097,NA
NA,0,NA,0,200717,13722.097,NA
NA,0,NA,0,200717,13723.097,NA
NA,0,NA,0.13,200717,13724.078,NA
NA,250.3,NA,0.68,200717,13726,NA
8423.3374,263.96,3346.6395,0.99,200717,13727,NA
8423.3374,265.26,3346.6401,1.48,200717,13728,NA
8423.3369,260.28,3346.6409,1.75,200717,13729,NA
8423.337,255.49,3346.6412,1.64,200717,13730,NA
8423.338,259.2,3346.6412,1.26,200717,13732,NA
8423.338,236.9,3346.6409,1.19,200717,13733,NA
8423.3371,211.88,3346.6409,0.84,200717,13734,NA
8423.3364,204.73,3346.6411,0.9,200717,13735,NA
8423.3358,192.55,3346.6412,0.83,200717,13736,NA
8423.3352,198.79,3346.6409,1.28,200717,13738,NA
8423.3354,208.12,3346.6403,2.12,200717,13739,NA
8423.3358,209.65,3346.6397,2.59,200717,13740,NA
8423.336,208.58,3346.6389,2.78,200717,13741,NA
8423.3364,208.39,3346.6381,2.94,200717,13742,NA
8423.3379,218.57,3346.636,5.18,200717,13744,NA
8423.3395,232.8,3346.6349,5.62,200717,13745,NA
NA,227.36,NA,6.63,200717,13746,NA
8423.3434,241.14,3346.633,6.46,200717,13747,NA
8423.3447,258.21,3346.632,6.09,200717,13748,NA
8423.3493,265.08,3346.6311,6.7,200717,13750,NA
NA,285.44,NA,6.45,200717,13751,NA
NA,275.74,NA,6.28,200717,13752,NA
NA,260.76,NA,7.11,200717,13753,NA
NA,263.1,NA,6.9,200717,13754,NA
8423.362,263.35,3346.6296,6.02,200717,13756,NA
NA,265.23,NA,6.06,200717,13757,NA
NA,268.05,NA,6.56,200717,13758,NA
NA,264.8,NA,6.48,200717,13759,NA
NA,264.1,NA,6.56,200717,13800,NA
8423.3704,262.81,3346.6258,7.66,200717,13802,NA
8423.3765,261.07,3346.6262,8.03,200717,13803,NA
8423.3804,260.53,3346.6261,8.31,200717,13804,NA
8423.383,258.62,3346.6258,8.32,200717,13805,NA
8423.3864,258.43,3346.6255,8.71,200717,13806,NA
8423.3932,271.3,3346.6253,9.79,200717,13808,NA
8423.3965,276.95,3346.6255,8.66,200717,13809,NA
8423.3997,275.48,3346.6258,9.21,200717,13810,NA
8423.4027,273.42,3346.626,10.25,200717,13811,NA
8423.4063,271.59,3346.6261,10.2,200717,13812,NA
8423.4128,268.4,3346.6259,9.88,200717,13814,NA
8423.4161,268.9,3346.6258,9.5,200717,13815,NA
8423.4193,270.22,3346.6259,9.91,200717,13816,NA
8423.4227,271.16,3346.626,11.57,200717,13817,NA
8423.4266,271.29,3346.626,11.9,200717,13818,NA
8423.4342,270.07,3346.6257,11.46,200717,13820,NA
8423.4381,268.73,3346.6254,11.44,200717,13821,NA
8423.4421,268.27,3346.6253,12.01,200717,13822,NA
8423.4463,268.24,3346.6252,12.5,200717,13823,NA
8423.4509,268.39,3346.625,13.49,200717,13824,NA
8423.4603,269.15,3346.6248,14.03,200717,13826,NA
8423.4655,269.53,3346.6249,15.03,200717,13827,NA
8423.4707,270.12,3346.6249,15.69,200717,13828,NA
8423.4762,270.49,3346.6249,16.51,200717,13829,NA
8423.482,270.95,3346.625,17.04,200717,13830,NA
8423.494,270.58,3346.6251,17.96,200717,13832,NA
8423.5,270.57,3346.6251,17.93,200717,13833,NA
8423.5063,270.64,3346.6253,18.47,200717,13834,NA
8423.5131,270.79,3346.6255,19.51,200717,13835,NA
8423.5201,270.24,3346.6255,20.03,200717,13836,NA
8423.5348,269.56,3346.6254,21.68,200717,13838,NA
8423.5423,269.65,3346.6254,21.72,200717,13839,NA
8423.5496,269.98,3346.6255,21.71,200717,13840,NA
8423.5572,270.85,3346.6257,22.19,200717,13841,NA
8423.5651,271.26,3346.626,23,200717,13842,NA
8423.5813,271.6,3346.6265,24.13,200717,13844,NA
8423.5895,272.76,3346.6269,24.14,200717,13845,NA
8423.5976,273.19,3346.6273,24.43,200717,13846,NA
8423.6059,272.9,3346.6275,24.47,200717,13847,NA
8423.614,272.02,3346.6276,24.43,200717,13848,NA
8423.6293,270.72,3346.6277,22.41,200717,13850,NA
8423.6365,271.39,3346.628,21.21,200717,13851,NA
8423.6433,272.2,3346.6282,19.83,200717,13852,NA
8423.6498,272.62,3346.6285,19.29,200717,13853,NA
8423.6561,273.12,3346.6287,18.62,200717,13854,NA
8423.6675,273,3346.6291,15.86,200717,13856,NA
8423.6726,277.13,3346.6295,15.12,200717,13857,NA
8423.6771,289.11,3346.6304,14.13,200717,13858,NA
8423.6813,303.01,3346.6321,13.84,200717,13859,NA
8423.6849,312.59,3346.6343,13.91,200717,13900,NA
8423.6899,331.37,3346.6401,13.61,200717,13902,NA
