LidarLeft,CO,P25,USRear,USLeft,LidarRight,USRight,O3,SO,P10,NO,timestamp,sensor,DateN,TimeN,Time
1988,784,9.4,642.62,50.8,624,93.98,778,1106,10.4,540,2.00717E+11,proximity,200717,13718,2017-07-20 1:37:18
1993,NA,NA,642.62,50.8,623,104.14,NA,NA,NA,NA,2.00717E+11,proximity,200717,13718,2017-07-20 1:37:18
1999,NA,NA,645.16,50.8,626,106.68,NA,NA,NA,NA,2.00717E+11,proximity,200717,13719,2017-07-20 1:37:19
1987,NA,NA,642.62,50.8,625,106.68,NA,NA,NA,NA,2.00717E+11,proximity,200717,13719,2017-07-20 1:37:19
1995,784,9.5,642.62,50.8,647,121.92,779,823,10.5,825,2.00717E+11,proximity,200717,13719,2017-07-20 1:37:19
1989,NA,NA,642.62,50.8,664,104.14,NA,NA,NA,NA,2.00717E+11,proximity,200717,13720,2017-07-20 1:37:20
1977,NA,NA,642.62,50.8,683,106.68,NA,NA,NA,NA,2.00717E+11,proximity,200717,13720,2017-07-20 1:37:20
1980,NA,NA,642.62,50.8,715,129.54,NA,NA,NA,NA,2.00717E+11,proximity,200717,13720,2017-07-20 1:37:20
1980,788,9.6,642.62,50.8,689,134.62,776,374,10.6,1066,2.00717E+11,proximity,200717,13720,2017-07-20 1:37:20
1977,NA,NA,642.62,50.8,760,129.54,NA,NA,NA,NA,2.00717E+11,proximity,200717,13721,2017-07-20 1:37:21
1989,NA,NA,642.62,50.8,778,114.3,NA,NA,NA,NA,2.00717E+11,proximity,200717,13721,2017-07-20 1:37:21
1983,NA,NA,642.62,50.8,653,96.52,NA,NA,NA,NA,2.00717E+11,proximity,200717,13721,2017-07-20 1:37:21
1983,783,9.7,642.62,50.8,615,139.7,779,919,10.7,793,2.00717E+11,proximity,200717,13722,2017-07-20 1:37:22
2006,NA,NA,642.62,50.8,612,106.68,NA,NA,NA,NA,2.00717E+11,proximity,200717,13722,2017-07-20 1:37:22
1989,NA,NA,642.62,50.8,615,119.38,NA,NA,NA,NA,2.00717E+11,proximity,200717,13722,2017-07-20 1:37:22
2002,NA,NA,642.62,50.8,617,101.6,NA,NA,NA,NA,2.00717E+11,proximity,200717,13723,2017-07-20 1:37:23
1984,781,9.9,640.08,50.8,619,99.06,779,779,10.9,827,2.00717E+11,proximity,200717,13723,2017-07-20 1:37:23
1998,NA,NA,642.62,50.8,622,129.54,NA,NA,NA,NA,2.00717E+11,proximity,200717,13723,2017-07-20 1:37:23
1981,NA,NA,642.62,50.8,621,109.22,NA,NA,NA,NA,2.00717E+11,proximity,200717,13723,2017-07-20 1:37:23
1974,NA,NA,640.08,50.8,564,101.6,NA,NA,NA,NA,2.00717E+11,proximity,200717,13724,2017-07-20 1:37:24
1974,782,10,642.62,50.8,553,109.22,779,1012,11,560,2.00717E+11,proximity,200717,13724,2017-07-20 1:37:24
1968,NA,NA,642.62,50.8,480,106.68,NA,NA,NA,NA,2.00717E+11,proximity,200717,13724,2017-07-20 1:37:24
1980,NA,NA,640.08,50.8,469,101.6,NA,NA,NA,NA,2.00717E+11,proximity,200717,13724,2017-07-20 1:37:24
1977,NA,NA,645.16,50.8,469,93.98,NA,NA,NA,NA,2.00717E+11,proximity,200717,13724,2017-07-20 1:37:24
1993,781,10,645.16,50.8,564,109.22,778,828,11,829,2.00717E+11,proximity,200717,13724,2017-07-20 1:37:24
1956,NA,NA,642.62,50.8,582,111.76,NA,NA,NA,NA,2.00717E+11,proximity,200717,13726,2017-07-20 1:37:26
1973,NA,NA,642.62,50.8,569,111.76,NA,NA,NA,NA,2.00717E+11,proximity,200717,13726,2017-07-20 1:37:26
1971,NA,NA,642.62,50.8,618,104.14,NA,NA,NA,NA,2.00717E+11,proximity,200717,13726,2017-07-20 1:37:26
1972,785,10.1,645.16,50.8,623,106.68,776,484,11.1,965,2.00717E+11,proximity,200717,13726,2017-07-20 1:37:26
1974,NA,NA,645.16,50.8,623,121.92,NA,NA,NA,NA,2.00717E+11,proximity,200717,13727,2017-07-20 1:37:27
1968,NA,NA,640.08,50.8,621,91.44,NA,NA,NA,NA,2.00717E+11,proximity,200717,13727,2017-07-20 1:37:27
1980,NA,NA,645.16,50.8,578,106.68,NA,NA,NA,NA,2.00717E+11,proximity,200717,13727,2017-07-20 1:37:27
1978,781,10.2,642.62,50.8,564,104.14,778,874,11.3,809,2.00717E+11,proximity,200717,13728,2017-07-20 1:37:28
1977,NA,NA,640.08,50.8,582,88.9,NA,NA,NA,NA,2.00717E+11,proximity,200717,13728,2017-07-20 1:37:28
1971,NA,NA,642.62,53.34,574,129.54,NA,NA,NA,NA,2.00717E+11,proximity,200717,13728,2017-07-20 1:37:28
1982,NA,NA,640.08,50.8,585,106.68,NA,NA,NA,NA,2.00717E+11,proximity,200717,13729,2017-07-20 1:37:29
1979,781,10.3,642.62,50.8,593,93.98,779,838,11.4,779,2.00717E+11,proximity,200717,13729,2017-07-20 1:37:29
1969,NA,NA,642.62,53.34,591,96.52,NA,NA,NA,NA,2.00717E+11,proximity,200717,13729,2017-07-20 1:37:29
1985,NA,NA,640.08,53.34,615,106.68,NA,NA,NA,NA,2.00717E+11,proximity,200717,13729,2017-07-20 1:37:29
1991,NA,NA,642.62,53.34,621,111.76,NA,NA,NA,NA,2.00717E+11,proximity,200717,13730,2017-07-20 1:37:30
1981,784,10.5,642.62,50.8,619,93.98,777,956,11.6,545,2.00717E+11,proximity,200717,13730,2017-07-20 1:37:30
1980,NA,NA,640.08,53.34,619,101.6,NA,NA,NA,NA,2.00717E+11,proximity,200717,13730,2017-07-20 1:37:30
1956,NA,NA,642.62,53.34,629,93.98,NA,NA,NA,NA,2.00717E+11,proximity,200717,13730,2017-07-20 1:37:30
1970,NA,NA,642.62,53.34,628,99.06,NA,NA,NA,NA,2.00717E+11,proximity,200717,13730,2017-07-20 1:37:30
1951,782,10.7,642.62,53.34,621,111.76,778,829,11.8,830,2.00717E+11,proximity,200717,13730,2017-07-20 1:37:30
1967,NA,NA,642.62,53.34,626,99.06,NA,NA,NA,NA,2.00717E+11,proximity,200717,13732,2017-07-20 1:37:32
1972,NA,NA,642.62,53.34,657,99.06,NA,NA,NA,NA,2.00717E+11,proximity,200717,13732,2017-07-20 1:37:32
1971,NA,NA,642.62,53.34,724,124.46,NA,NA,NA,NA,2.00717E+11,proximity,200717,13732,2017-07-20 1:37:32
1952,787,10.8,642.62,53.34,741,124.46,776,400,11.9,1011,2.00717E+11,proximity,200717,13732,2017-07-20 1:37:32
1972,NA,NA,640.08,53.34,500,269.24,NA,NA,NA,NA,2.00717E+11,proximity,200717,13733,2017-07-20 1:37:33
1982,NA,NA,642.62,53.34,502,119.38,NA,NA,NA,NA,2.00717E+11,proximity,200717,13733,2017-07-20 1:37:33
2012,NA,NA,642.62,53.34,161,81.28,NA,NA,NA,NA,2.00717E+11,proximity,200717,13733,2017-07-20 1:37:33
1,782,10.9,642.62,53.34,939,175.26,778,872,12,788,2.00717E+11,proximity,200717,13734,2017-07-20 1:37:34
1740,NA,NA,642.62,53.34,923,254,NA,NA,NA,NA,2.00717E+11,proximity,200717,13734,2017-07-20 1:37:34
1,NA,NA,640.08,53.34,564,172.72,NA,NA,NA,NA,2.00717E+11,proximity,200717,13734,2017-07-20 1:37:34
1,NA,NA,642.62,53.34,459,172.72,NA,NA,NA,NA,2.00717E+11,proximity,200717,13735,2017-07-20 1:37:35
1851,783,11.1,640.08,53.34,1339,198.12,777,636,12.2,1059,2.00717E+11,proximity,200717,13735,2017-07-20 1:37:35
1,NA,NA,642.62,53.34,316,233.68,NA,NA,NA,NA,2.00717E+11,proximity,200717,13735,2017-07-20 1:37:35
1,NA,NA,642.62,53.34,307,200.66,NA,NA,NA,NA,2.00717E+11,proximity,200717,13736,2017-07-20 1:37:36
2580,NA,NA,640.08,53.34,1,205.74,NA,NA,NA,NA,2.00717E+11,proximity,200717,13736,2017-07-20 1:37:36
1,782,11.1,642.62,53.34,1,215.9,779,1022,12.2,622,2.00717E+11,proximity,200717,13736,2017-07-20 1:37:36
1,NA,NA,640.08,53.34,2069,226.06,NA,NA,NA,NA,2.00717E+11,proximity,200717,13736,2017-07-20 1:37:36
2531,NA,NA,642.62,53.34,2089,241.3,NA,NA,NA,NA,2.00717E+11,proximity,200717,13736,2017-07-20 1:37:36
2606,NA,NA,642.62,53.34,689,337.82,NA,NA,NA,NA,2.00717E+11,proximity,200717,13736,2017-07-20 1:37:36
