oms_risk,uv_index,altitude,temperature,pressure,humidity,timestamp,sensor,DateN,TimeN,sequenceTime,Time
Low,0.13654618,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214506,1,2017-07-19 21:45:06
Low,0.13788487,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214508,2,2017-07-19 21:45:08
Low,0.13788487,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214510,3,2017-07-19 21:45:10
NA,NA,252.5625,27.3125,98324.75,NA,1.90717E+11,pressure_temperature,190717,214510,4,2017-07-19 21:45:10
NA,NA,NA,NA,NA,68.61962891,1.90717E+11,humidity,190717,214510,5,2017-07-19 21:45:10
Low,0.139223561,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214512,6,2017-07-19 21:45:12
Low,0.13788487,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214514,7,2017-07-19 21:45:14
NA,NA,253,27.5,98322.5,NA,1.90717E+11,pressure_temperature,190717,214515,8,2017-07-19 21:45:15
NA,NA,NA,NA,NA,68.64544678,1.90717E+11,humidity,190717,214515,9,2017-07-19 21:45:15
Low,0.13788487,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214516,10,2017-07-19 21:45:16
Low,0.139223561,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214518,11,2017-07-19 21:45:18
Low,0.140562251,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214520,12,2017-07-19 21:45:20
NA,NA,253.25,27.6875,98321.25,NA,1.90717E+11,pressure_temperature,190717,214520,13,2017-07-19 21:45:20
NA,NA,NA,NA,NA,68.70406342,1.90717E+11,humidity,190717,214520,14,2017-07-19 21:45:20
Low,0.140562251,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214522,15,2017-07-19 21:45:22
Low,0.13788487,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214524,16,2017-07-19 21:45:24
NA,NA,253,27.8125,98324.75,NA,1.90717E+11,pressure_temperature,190717,214525,17,2017-07-19 21:45:25
NA,NA,NA,NA,NA,68.64894104,1.90717E+11,humidity,190717,214525,18,2017-07-19 21:45:25
Low,0.13654618,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214526,19,2017-07-19 21:45:26
Low,0.135207489,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214528,20,2017-07-19 21:45:28
Low,0.13654618,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214530,21,2017-07-19 21:45:30
NA,NA,252.375,28,98332.25,NA,1.90717E+11,pressure_temperature,190717,214530,22,2017-07-19 21:45:30
NA,NA,NA,NA,NA,68.71871948,1.90717E+11,humidity,190717,214530,23,2017-07-19 21:45:30
Low,0.13654618,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214532,24,2017-07-19 21:45:32
Low,0.13654618,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214534,25,2017-07-19 21:45:34
NA,NA,252.375,28.1875,98331.75,NA,1.90717E+11,pressure_temperature,190717,214535,26,2017-07-19 21:45:35
NA,NA,NA,NA,NA,68.81083679,1.90717E+11,humidity,190717,214535,27,2017-07-19 21:45:35
Low,0.13654618,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214536,28,2017-07-19 21:45:36
Low,0.140562251,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214538,29,2017-07-19 21:45:38
Low,0.144578308,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214540,30,2017-07-19 21:45:40
NA,NA,252.25,28.375,98330.25,NA,1.90717E+11,pressure_temperature,190717,214540,31,2017-07-19 21:45:40
NA,NA,NA,NA,NA,68.88061523,1.90717E+11,humidity,190717,214540,32,2017-07-19 21:45:40
Low,0.144578308,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214542,33,2017-07-19 21:45:42
Low,0.144578308,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214544,34,2017-07-19 21:45:44
NA,NA,252.5,28.5625,98326.5,NA,1.90717E+11,pressure_temperature,190717,214545,35,2017-07-19 21:45:45
NA,NA,NA,NA,NA,68.86735535,1.90717E+11,humidity,190717,214545,36,2017-07-19 21:45:45
Low,0.144578308,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214546,37,2017-07-19 21:45:46
Low,0.145916998,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214548,38,2017-07-19 21:45:48
Low,0.144578308,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214550,39,2017-07-19 21:45:50
NA,NA,252.75,28.75,98329,NA,1.90717E+11,pressure_temperature,190717,214550,40,2017-07-19 21:45:50
NA,NA,NA,NA,NA,68.96714783,1.90717E+11,humidity,190717,214550,41,2017-07-19 21:45:50
Low,0.144578308,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214552,42,2017-07-19 21:45:52
Low,0.145916998,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214554,43,2017-07-19 21:45:54
NA,NA,252.75,28.9375,98323.25,NA,1.90717E+11,pressure_temperature,190717,214555,44,2017-07-19 21:45:55
NA,NA,NA,NA,NA,68.89945984,1.90717E+11,humidity,190717,214555,45,2017-07-19 21:45:55
Low,0.145916998,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214556,46,2017-07-19 21:45:56
Low,0.144578308,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214558,47,2017-07-19 21:45:58
Low,0.143239617,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214600,48,2017-07-19 21:46:00
NA,NA,253.5625,29.125,98315,NA,1.90717E+11,pressure_temperature,190717,214600,49,2017-07-19 21:46:00
NA,NA,NA,NA,NA,68.64265442,1.90717E+11,humidity,190717,214600,50,2017-07-19 21:46:00
Low,0.147255689,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214602,51,2017-07-19 21:46:02
Low,0.147255689,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214604,52,2017-07-19 21:46:04
NA,NA,253.9375,29.3125,98307.75,NA,1.90717E+11,pressure_temperature,190717,214605,53,2017-07-19 21:46:05
NA,NA,NA,NA,NA,68.95388794,1.90717E+11,humidity,190717,214605,54,2017-07-19 21:46:05
Low,0.148594379,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214606,55,2017-07-19 21:46:06
Low,0.148594379,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214608,56,2017-07-19 21:46:08
Low,0.148594379,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214610,57,2017-07-19 21:46:10
NA,NA,254.75,29.5,98304.25,NA,1.90717E+11,pressure_temperature,190717,214610,58,2017-07-19 21:46:10
NA,NA,NA,NA,NA,68.99645233,1.90717E+11,humidity,190717,214610,59,2017-07-19 21:46:10
Low,0.148594379,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214612,60,2017-07-19 21:46:12
Low,0.148594379,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214614,61,2017-07-19 21:46:14
NA,NA,254.3125,29.6875,98305.25,NA,1.90717E+11,pressure_temperature,190717,214615,62,2017-07-19 21:46:15
NA,NA,NA,NA,NA,69.02436829,1.90717E+11,humidity,190717,214615,63,2017-07-19 21:46:15
Low,0.14993307,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214616,64,2017-07-19 21:46:16
Low,0.14993307,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214618,65,2017-07-19 21:46:18
Low,0.14993307,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214620,66,2017-07-19 21:46:20
NA,NA,253.9375,29.875,98315.25,NA,1.90717E+11,pressure_temperature,190717,214620,67,2017-07-19 21:46:20
NA,NA,NA,NA,NA,69.15904999,1.90717E+11,humidity,190717,214620,68,2017-07-19 21:46:20
Low,0.14993307,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214622,69,2017-07-19 21:46:22
Low,0.14993307,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214624,70,2017-07-19 21:46:24
NA,NA,253.875,30.0625,98308,NA,1.90717E+11,pressure_temperature,190717,214625,71,2017-07-19 21:46:25
NA,NA,NA,NA,NA,69.0906601,1.90717E+11,humidity,190717,214625,72,2017-07-19 21:46:25
Low,0.14993307,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214626,73,2017-07-19 21:46:26
Low,0.152610436,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214628,74,2017-07-19 21:46:28
Low,0.151271746,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214630,75,2017-07-19 21:46:30
NA,NA,254.0625,30.1875,98304.5,NA,1.90717E+11,pressure_temperature,190717,214630,76,2017-07-19 21:46:30
NA,NA,NA,NA,NA,69.16462708,1.90717E+11,humidity,190717,214630,77,2017-07-19 21:46:30
Low,0.151271746,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214632,78,2017-07-19 21:46:32
Low,0.151271746,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214633,79,2017-07-19 21:46:33
NA,NA,254.125,30.4375,98309.5,NA,1.90717E+11,pressure_temperature,190717,214635,80,2017-07-19 21:46:35
NA,NA,NA,NA,NA,69.34466553,1.90717E+11,humidity,190717,214635,81,2017-07-19 21:46:35
Low,0.153949127,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214636,82,2017-07-19 21:46:36
Low,0.152610436,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214638,83,2017-07-19 21:46:38
Low,0.152610436,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214640,84,2017-07-19 21:46:40
NA,NA,254,30.5625,98309,NA,1.90717E+11,pressure_temperature,190717,214640,85,2017-07-19 21:46:40
NA,NA,NA,NA,NA,69.52540588,1.90717E+11,humidity,190717,214640,86,2017-07-19 21:46:40
