,USRight,USLeft,USRear,LidarRight,LidarLeft,SO,NO,P10,P25,O3,CO,timestamp,sensor,DateN,TimeN,sequenceTime
1,375.92,43.18,335.28,1295,431,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214508,1
2,373.38,322.58,307.34,1297,421,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214508,2
3,373.38,213.36,299.72,1300,422,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214508,3
4,373.38,63.5,287.02,1292,421,4095,4095,12.6,11.1,4095,4095,1.90717E+11,proximity,190717,214509,4
5,375.92,434.34,287.02,1298,418,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214509,5
6,375.92,317.5,274.32,1297,416,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214509,6
7,607.06,170.18,266.7,1292,420,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214509,7
8,386.08,27.94,261.62,1292,419,4095,4095,12.6,11.1,4095,4095,1.90717E+11,proximity,190717,214510,8
9,375.92,195.58,248.92,1302,422,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214510,9
10,373.38,281.94,238.76,1301,423,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214510,10
11,375.92,139.7,228.6,1297,418,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214510,11
12,373.38,276.86,215.9,1300,419,4095,4095,12.6,11.1,4095,4095,1.90717E+11,proximity,190717,214511,12
13,373.38,434.34,203.2,1287,417,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214511,13
14,370.84,180.34,198.12,1298,419,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214511,14
15,381,274.32,218.44,1308,412,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214511,15
16,375.92,434.34,180.34,1308,413,4095,4095,12.5,11,4095,4095,1.90717E+11,proximity,190717,214512,16
17,431.8,434.34,172.72,1292,412,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214512,17
18,375.92,86.36,165.1,1301,413,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214512,18
19,373.38,383.54,157.48,1300,415,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214512,19
20,375.92,434.34,312.42,1301,416,4095,4095,12.4,10.9,4095,4095,1.90717E+11,proximity,190717,214513,20
21,375.92,408.94,447.04,1307,415,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214513,21
22,378.46,109.22,561.34,1305,415,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214513,22
23,375.92,434.34,441.96,1290,417,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214513,23
24,373.38,434.34,553.72,1306,416,4095,4095,12.3,10.8,4095,4095,1.90717E+11,proximity,190717,214514,24
25,373.38,347.98,556.26,1304,416,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214514,25
26,375.92,375.92,551.18,1310,420,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214514,26
27,375.92,383.54,363.22,1303,416,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214515,27
28,373.38,424.18,538.48,1306,413,4095,4095,12.5,10.8,4095,4095,1.90717E+11,proximity,190717,214515,28
29,373.38,162.56,518.16,1292,412,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214515,29
30,373.38,58.42,439.42,1301,414,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214515,30
31,373.38,434.34,370.84,1303,413,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214516,31
32,375.92,381,337.82,1293,413,4095,4095,12.6,10.7,4095,4095,1.90717E+11,proximity,190717,214516,32
33,375.92,238.76,434.34,1290,414,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214516,33
34,373.38,137.16,553.72,1296,413,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214516,34
35,375.92,378.46,304.8,1302,411,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214517,35
36,375.92,434.34,543.56,1292,411,4095,4095,12.6,10.7,4095,4095,1.90717E+11,proximity,190717,214517,36
37,373.38,226.06,472.44,1297,411,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214517,37
38,373.38,121.92,556.26,1291,410,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214518,38
39,132.08,269.24,360.68,1308,407,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214518,39
40,139.7,381,546.1,1307,413,4095,4095,12.6,10.8,4095,4095,1.90717E+11,proximity,190717,214518,40
41,152.4,266.7,553.72,1304,405,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214518,41
42,172.72,434.34,360.68,1305,408,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214519,42
43,167.64,373.38,541.02,1308,411,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214519,43
44,177.8,226.06,556.26,1297,413,4095,4095,12.6,10.8,4095,4095,1.90717E+11,proximity,190717,214519,44
45,177.8,73.66,551.18,1306,413,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214519,45
46,193.04,378.46,342.9,1308,414,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214520,46
47,200.66,381,558.8,1297,417,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214520,47
48,208.28,246.38,548.64,1291,411,4095,4095,12.6,10.8,4095,4095,1.90717E+11,proximity,190717,214520,48
49,220.98,162.56,436.88,1297,400,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214520,49
50,228.6,431.8,332.74,1301,400,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214521,50
51,238.76,274.32,553.72,1299,409,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214521,51
52,246.38,205.74,558.8,1307,404,4095,4095,12.6,10.8,4095,4095,1.90717E+11,proximity,190717,214521,52
53,246.38,58.42,561.34,1305,405,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214522,53
54,264.16,381,340.36,1294,418,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214522,54
55,276.86,325.12,551.18,1304,420,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214522,55
56,284.48,287.02,546.1,1310,418,4095,4095,12.5,10.8,4095,4095,1.90717E+11,proximity,190717,214523,56
57,287.02,142.24,228.6,1310,415,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214523,57
58,302.26,38.1,447.04,1300,410,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214523,58
59,314.96,337.82,281.94,1298,416,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214524,59
60,322.58,337.82,538.48,1299,406,4095,4095,12.5,10.8,4095,4095,1.90717E+11,proximity,190717,214524,60
61,325.12,203.2,492.76,1309,402,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214524,61
62,342.9,99.06,548.64,1297,408,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214524,62
63,353.06,238.76,322.58,1304,407,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214525,63
64,368.3,388.62,538.48,1300,411,4095,4095,12.3,10.8,4095,4095,1.90717E+11,proximity,190717,214525,64
65,370.84,228.6,477.52,1300,416,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214525,65
66,378.46,104.14,508,451,404,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214525,66
67,375.92,353.06,312.42,448,403,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214526,67
68,375.92,185.42,497.84,463,404,4095,4095,12.3,10.7,4095,4095,1.90717E+11,proximity,190717,214526,68
69,375.92,345.44,332.74,461,406,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214526,69
70,375.92,274.32,472.44,457,403,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214527,70
71,375.92,210.82,467.36,460,403,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214527,71
72,375.92,320.04,281.94,456,402,4095,4095,12.2,10.6,4095,4095,1.90717E+11,proximity,190717,214527,72
73,375.92,182.88,210.82,449,405,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214528,73
74,378.46,375.92,436.88,447,405,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214528,74
75,375.92,50.8,426.72,449,405,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214528,75
76,375.92,375.92,416.56,446,405,4095,4095,12.2,10.6,4095,4095,1.90717E+11,proximity,190717,214528,76
77,378.46,274.32,416.56,447,410,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214529,77
78,370.84,187.96,408.94,453,417,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214529,78
79,373.38,53.34,393.7,454,416,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214529,79
80,373.38,375.92,383.54,456,419,4095,4095,12.3,10.6,4095,4095,1.90717E+11,proximity,190717,214529,80
81,373.38,279.4,378.46,456,415,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214530,81
82,375.92,378.46,365.76,450,408,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,214530,82
