"","LidarLeft","LidarRight","USLeft","USRear","USRight","CO","P25","O3","P10","NO","SO","timestamp","sensor","DateN","TimeN","Time","sequenceTime"
"1",1,1,71.12,642.62,332.74,NA,NA,NA,NA,NA,NA,230717010810.094,"proximity","230717","010810",2017-07-23 01:08:10,1
"2",1653,1,71.12,640.08,401.32,NA,NA,NA,NA,NA,NA,230717010811.094,"proximity","230717","010811",2017-07-23 01:08:11,2
"3",1,1,71.12,96.52,401.32,NA,NA,NA,NA,NA,NA,230717010811.094,"proximity","230717","010811",2017-07-23 01:08:11,3
"4",1,1,71.12,203.2,401.32,796,17,843,19.1,803,730,230717010811.094,"proximity","230717","010811",2017-07-23 01:08:11,4
"5",1,1,71.12,320.04,401.32,NA,NA,NA,NA,NA,NA,230717010811.094,"proximity","230717","010811",2017-07-23 01:08:11,5
"6",1,1,71.12,287.02,398.78,NA,NA,NA,NA,NA,NA,230717010812.088,"proximity","230717","010812",2017-07-23 01:08:12,6
"7",1690,1,71.12,320.04,401.32,NA,NA,NA,NA,NA,NA,230717010812.088,"proximity","230717","010812",2017-07-23 01:08:12,7
"8",1684,1,68.58,586.74,401.32,801,17.1,984,19.2,912,499,230717010812.088,"proximity","230717","010812",2017-07-23 01:08:12,8
"9",1,1,68.58,299.72,398.78,NA,NA,NA,NA,NA,NA,230717010812.088,"proximity","230717","010812",2017-07-23 01:08:12,9
"10",1,1,53.34,617.22,289.56,NA,NA,NA,NA,NA,NA,230717010813.309,"proximity","230717","010813",2017-07-23 01:08:13,10
"11",1,1,66.04,642.62,396.24,NA,NA,NA,NA,NA,NA,230717010813.309,"proximity","230717","010813",2017-07-23 01:08:13,11
"12",1,1,243.84,505.46,401.32,791,17.2,731,19.3,725,797,230717010813.309,"proximity","230717","010813",2017-07-23 01:08:13,12
"13",1,1,127,251.46,370.84,NA,NA,NA,NA,NA,NA,230717010814.309,"proximity","230717","010814",2017-07-23 01:08:14,13
"14",1,1385,53.34,320.04,414.02,NA,NA,NA,NA,NA,NA,230717010814.309,"proximity","230717","010814",2017-07-23 01:08:14,14
"15",1,1378,322.58,320.04,411.48,NA,NA,NA,NA,NA,NA,230717010814.309,"proximity","230717","010814",2017-07-23 01:08:14,15
"16",1,1382,381,320.04,642.62,795,17.4,1350,19.5,1125,292,230717010815.309,"proximity","230717","010815",2017-07-23 01:08:15,16
"17",1,1,312.42,320.04,642.62,NA,NA,NA,NA,NA,NA,230717010815.309,"proximity","230717","010815",2017-07-23 01:08:15,17
"18",1,1,378.46,320.04,642.62,NA,NA,NA,NA,NA,NA,230717010815.309,"proximity","230717","010815",2017-07-23 01:08:15,18
"19",1,1,322.58,320.04,645.16,NA,NA,NA,NA,NA,NA,230717010815.309,"proximity","230717","010815",2017-07-23 01:08:15,19
"20",1,1,381,320.04,642.62,790,17.5,805,19.6,807,831,230717010816.309,"proximity","230717","010816",2017-07-23 01:08:16,20
"21",1,1,381,320.04,642.62,NA,NA,NA,NA,NA,NA,230717010816.309,"proximity","230717","010816",2017-07-23 01:08:16,21
"22",1,2623,55.88,320.04,642.62,NA,NA,NA,NA,NA,NA,230717010818.309,"proximity","230717","010818",2017-07-23 01:08:18,22
"23",1,2633,53.34,441.96,642.62,NA,NA,NA,NA,NA,NA,230717010818.309,"proximity","230717","010818",2017-07-23 01:08:18,23
"24",1,2642,35.56,154.94,642.62,793,18,462,20.2,562,952,230717010818.309,"proximity","230717","010818",2017-07-23 01:08:18,24
"25",1,1,55.88,320.04,642.62,NA,NA,NA,NA,NA,NA,230717010819.309,"proximity","230717","010819",2017-07-23 01:08:19,25
"26",1,1,33.02,147.32,642.62,NA,NA,NA,NA,NA,NA,230717010819.309,"proximity","230717","010819",2017-07-23 01:08:19,26
"27",1,2658,55.88,320.04,642.62,NA,NA,NA,NA,NA,NA,230717010819.309,"proximity","230717","010819",2017-07-23 01:08:19,27
"28",71,1,55.88,48.26,642.62,791,18.2,855,20.4,858,759,230717010820.309,"proximity","230717","010820",2017-07-23 01:08:20,28
"29",73,1,53.34,320.04,642.62,NA,NA,NA,NA,NA,NA,230717010820.309,"proximity","230717","010820",2017-07-23 01:08:20,29
"30",1,2640,53.34,127,642.62,NA,NA,NA,NA,NA,NA,230717010820.309,"proximity","230717","010820",2017-07-23 01:08:20,30
"31",1,2650,53.34,320.04,642.62,NA,NA,NA,NA,NA,NA,230717010820.309,"proximity","230717","010820",2017-07-23 01:08:20,31
"32",1,1,53.34,406.4,642.62,797,18.4,1248,20.6,1034,279,230717010821.309,"proximity","230717","010821",2017-07-23 01:08:21,32
"33",1,2646,53.34,88.9,642.62,NA,NA,NA,NA,NA,NA,230717010821.309,"proximity","230717","010821",2017-07-23 01:08:21,33
"34",1,1,45.72,431.8,642.62,NA,NA,NA,NA,NA,NA,230717010821.309,"proximity","230717","010821",2017-07-23 01:08:21,34
"35",1,1,53.34,127,642.62,NA,NA,NA,NA,NA,NA,230717010822.309,"proximity","230717","010822",2017-07-23 01:08:22,35
"36",1,1,50.8,320.04,642.62,794,18.5,812,20.7,775,819,230717010822.309,"proximity","230717","010822",2017-07-23 01:08:22,36
"37",1,1,53.34,424.18,645.16,NA,NA,NA,NA,NA,NA,230717010822.309,"proximity","230717","010822",2017-07-23 01:08:22,37
"38",1,2642,381,320.04,642.62,NA,NA,NA,NA,NA,NA,230717010822.309,"proximity","230717","010822",2017-07-23 01:08:22,38
"39",1,2681,50.8,472.44,642.62,NA,NA,NA,NA,NA,NA,230717010823.309,"proximity","230717","010823",2017-07-23 01:08:23,39
"40",1,2697,38.1,160.02,292.1,793,18.5,737,20.7,742,792,230717010823.309,"proximity","230717","010823",2017-07-23 01:08:23,40
"41",1,1,50.8,320.04,401.32,NA,NA,NA,NA,NA,NA,230717010824.103,"proximity","230717","010824",2017-07-23 01:08:24,41
"42",1,1,50.8,187.96,401.32,NA,NA,NA,NA,NA,NA,230717010824.103,"proximity","230717","010824",2017-07-23 01:08:24,42
"43",1,1,50.8,320.04,401.32,NA,NA,NA,NA,NA,NA,230717010824.103,"proximity","230717","010824",2017-07-23 01:08:24,43
"44",1,1,50.8,520.7,401.32,792,18.6,479,20.8,550,915,230717010824.103,"proximity","230717","010824",2017-07-23 01:08:24,44
"45",1683,1,50.8,256.54,396.24,NA,NA,NA,NA,NA,NA,230717010825.103,"proximity","230717","010825",2017-07-23 01:08:25,45
"46",1,1,48.26,320.04,398.78,NA,NA,NA,NA,NA,NA,230717010825.103,"proximity","230717","010825",2017-07-23 01:08:25,46
"47",1,1,45.72,353.06,406.4,NA,NA,NA,NA,NA,NA,230717010825.103,"proximity","230717","010825",2017-07-23 01:08:25,47
"48",1,1,27.94,96.52,640.08,790,18.6,870,20.8,854,770,230717010826.103,"proximity","230717","010826",2017-07-23 01:08:26,48
"49",1,1,45.72,502.92,459.74,NA,NA,NA,NA,NA,NA,230717010826.103,"proximity","230717","010826",2017-07-23 01:08:26,49
"50",1,1,45.72,223.52,350.52,NA,NA,NA,NA,NA,NA,230717010826.103,"proximity","230717","010826",2017-07-23 01:08:26,50
"51",1707,399,45.72,320.04,523.24,NA,NA,NA,NA,NA,NA,230717010827.103,"proximity","230717","010827",2017-07-23 01:08:27,51
"52",1695,1,45.72,114.3,401.32,793,18.7,1087,20.9,939,367,230717010827.103,"proximity","230717","010827",2017-07-23 01:08:27,52
"53",1,1,45.72,492.76,353.06,NA,NA,NA,NA,NA,NA,230717010827.103,"proximity","230717","010827",2017-07-23 01:08:27,53
"54",1,1,45.72,88.9,454.66,NA,NA,NA,NA,NA,NA,230717010828.103,"proximity","230717","010828",2017-07-23 01:08:28,54
"55",1,1,43.18,231.14,363.22,NA,NA,NA,NA,NA,NA,230717010828.103,"proximity","230717","010828",2017-07-23 01:08:28,55
"56",1,1,43.18,320.04,401.32,789,18.8,798,21,783,841,230717010828.103,"proximity","230717","010828",2017-07-23 01:08:28,56
"57",1,1,43.18,419.1,454.66,NA,NA,NA,NA,NA,NA,230717010828.103,"proximity","230717","010828",2017-07-23 01:08:28,57
"58",1,1,43.18,55.88,457.2,NA,NA,NA,NA,NA,NA,230717010829.103,"proximity","230717","010829",2017-07-23 01:08:29,58
"59",1,1,43.18,551.18,401.32,NA,NA,NA,NA,NA,NA,230717010829.103,"proximity","230717","010829",2017-07-23 01:08:29,59
"60",1716,1,43.18,299.72,401.32,793,18.9,887,21.2,845,705,230717010829.103,"proximity","230717","010829",2017-07-23 01:08:29,60
"61",1685,1,40.64,111.76,246.38,NA,NA,NA,NA,NA,NA,230717010830.097,"proximity","230717","010830",2017-07-23 01:08:30,61
"62",1687,1,45.72,368.3,401.32,NA,NA,NA,NA,NA,NA,230717010830.097,"proximity","230717","010830",2017-07-23 01:08:30,62
"63",1,1,20.32,129.54,403.86,NA,NA,NA,NA,NA,NA,230717010830.097,"proximity","230717","010830",2017-07-23 01:08:30,63
"64",1697,1,45.72,203.2,393.7,792,19.2,591,21.5,677,972,230717010831.097,"proximity","230717","010831",2017-07-23 01:08:31,64
"65",1,1,45.72,320.04,403.86,NA,NA,NA,NA,NA,NA,230717010831.097,"proximity","230717","010831",2017-07-23 01:08:31,65
"66",1,1,45.72,314.96,401.32,NA,NA,NA,NA,NA,NA,230717010831.097,"proximity","230717","010831",2017-07-23 01:08:31,66
"67",1,1,45.72,68.58,401.32,NA,NA,NA,NA,NA,NA,230717010831.097,"proximity","230717","010831",2017-07-23 01:08:31,67
"68",51,1,45.72,320.04,375.92,792,19.3,945,21.6,876,685,230717010832.097,"proximity","230717","010832",2017-07-23 01:08:32,68
"69",61,1,43.18,388.62,459.74,NA,NA,NA,NA,NA,NA,230717010832.097,"proximity","230717","010832",2017-07-23 01:08:32,69
"70",62,1,43.18,640.08,416.56,NA,NA,NA,NA,NA,NA,230717010832.097,"proximity","230717","010832",2017-07-23 01:08:32,70
"71",54,1,43.18,508,254,NA,NA,NA,NA,NA,NA,230717010833.097,"proximity","230717","010833",2017-07-23 01:08:33,71
"72",51,1,43.18,640.08,426.72,792,19.4,968,21.7,863,487,230717010833.097,"proximity","230717","010833",2017-07-23 01:08:33,72
"73",53,1,40.64,525.78,459.74,NA,NA,NA,NA,NA,NA,230717010833.097,"proximity","230717","010833",2017-07-23 01:08:33,73
"74",55,2142,25.4,132.08,642.62,NA,NA,NA,NA,NA,NA,230717010834.097,"proximity","230717","010834",2017-07-23 01:08:34,74
"75",54,2148,40.64,320.04,459.74,NA,NA,NA,NA,NA,NA,230717010834.097,"proximity","230717","010834",2017-07-23 01:08:34,75
"76",55,1,40.64,612.14,347.98,790,19.4,801,21.7,779,840,230717010834.097,"proximity","230717","010834",2017-07-23 01:08:34,76
"77",47,2159,38.1,411.48,462.28,NA,NA,NA,NA,NA,NA,230717010834.097,"proximity","230717","010834",2017-07-23 01:08:34,77
"78",49,2158,38.1,25.4,462.28,NA,NA,NA,NA,NA,NA,230717010835.097,"proximity","230717","010835",2017-07-23 01:08:35,78
"79",49,2157,38.1,320.04,360.68,NA,NA,NA,NA,NA,NA,230717010835.097,"proximity","230717","010835",2017-07-23 01:08:35,79
