course,speed,day,time,lon,lat,seq,video_time,RS Classifier,LS Classifier,USRight,USLeft,USRear,LidarRight,LidarLeft,CO,SO,O3,NO,P10,P25
286.58,0.73,230717,7/22/2017 21:09,-84.38879833,33.77725,1,7/23/2017 0:00,,,400.685,76.2,207.01,436,1,790,560,902,837,22.5,20.1
296.99,0.73,230717,7/22/2017 21:09,-84.38880167,33.77725333,2,7/23/2017 0:00,,,398.78,75.35333333,293.7933333,428.6666667,1,787,820,828,817,22.5,20.1
301.07,0.61,230717,7/22/2017 21:09,-84.38880833,33.77725,3,7/23/2017 0:00,,,400.4733333,68.58,330.2,1007.666667,1122,NA,NA,NA,NA,NA,NA
301.07,0.47,230717,7/22/2017 21:09,-84.38881,33.77724667,4,7/23/2017 0:00,,,401.32,71.84571429,259.4428571,294.2857143,725.7142857,791.5,647,991.5,901,22.65,20
301.07,0.32,230717,7/22/2017 21:09,-84.38881667,33.777245,5,7/23/2017 0:00,,,400.4733333,75.35333333,370.84,403.3333333,569,791,709,909,860,22.7,20
301.07,0.41,230717,7/22/2017 21:09,-84.38882167,33.77724167,6,7/23/2017 0:00,,,400.685,75.565,202.565,867.5,844.5,790,467,977,866,22.7,20
301.07,0.45,230717,7/22/2017 21:09,-84.388825,33.77724167,7,7/23/2017 0:00,,,398.78,74.50666667,258.2333333,407,1,784,872,760,778,22.7,20
301.07,0.42,230717,7/22/2017 21:09,-84.38882833,33.77724667,8,7/23/2017 0:00,,,400.685,69.85,303.53,308.75,846.25,783,665,922,871,22.7,20
301.07,0.37,230717,7/22/2017 21:09,-84.38882833,33.77724833,9,7/23/2017 0:00,,,401.32,74.50666667,579.12,135.6666667,1124.166667,784,1090,470,609,22.6,19.9
301.07,0.36,230717,7/22/2017 21:09,-84.38883,33.77725333,10,7/23/2017 0:00,,,405.13,66.04,331.47,203.5,850.25,784,789,805,763,22.5,19.9
301.07,0.51,230717,7/22/2017 21:09,-84.38883333,33.777255,11,7/23/2017 0:00,,,438.5733333,71.96666667,282.7866667,1,2.333333333,793,272,1252,1036,22.4,20
301.07,0.51,230717,7/22/2017 21:09,-84.38883667,33.777255,12,7/23/2017 0:00,,,399.415,63.5,358.775,640,1,785,823,799,767,22.5,20
301.07,0.49,230717,7/22/2017 21:09,-84.38884,33.77725833,13,7/23/2017 0:00,,,397.51,78.74,167.64,614,1,NA,NA,NA,NA,NA,NA
0.76,0.64,230717,7/22/2017 21:09,-84.38883667,33.777265,14,7/23/2017 0:00,,,518.16,310.6057143,334.9171429,988.2857143,482.5714286,785,850.5,751,807,22.55,20.05
7.17,0.51,230717,7/22/2017 21:09,-84.38883833,33.77727333,15,7/23/2017 0:00,,,642.112,348.488,320.04,2099.8,339.6,786,666,932,855,22.4,19.9
42.91,0.63,230717,7/22/2017 21:09,-84.38883833,33.77727667,16,7/23/2017 0:00,,,641.7733333,342.0533333,426.72,2617,1,789,282,1237,1045,22.2,19.8
42.91,0.45,230717,7/22/2017 21:09,-84.38883833,33.77728,17,7/23/2017 0:00,,,642.62,356.4466667,640.08,2632.333333,1,787,830,764,765,22.3,19.8
42.91,0.2,230717,7/22/2017 21:09,-84.388845,33.77727667,18,7/23/2017 0:00,,,641.7733333,358.14,640.9266667,1762,1,784,722,851,836,22.3,19.8
42.91,0.17,230717,7/22/2017 21:09,-84.38884667,33.77727667,19,7/23/2017 0:00,,,641.8942857,344.7142857,640.08,1879.428571,1,784,1039,471,602,22.3,19.9
