"","course","speed","day","utc_time","long","lat","Time","sequenceTime"
"1",0,0,"230717",10830.087,NA,NA,NA,1
"2",0,0,"230717",10831.306,NA,NA,NA,2
"3",0,0,"230717",10832.306,NA,NA,NA,3
"4",0,0,"230717",10833.306,NA,NA,NA,4
"5",0,0,"230717",10834.306,NA,NA,NA,5
"6",0,0,"230717",10835.306,NA,NA,NA,6
"7",0,0,"230717",10836.091,NA,NA,NA,7
"8",0,0,"230717",10837.091,NA,NA,NA,8
"9",0,0,"230717",10838.091,NA,NA,NA,9
"10",0,0,"230717",10839.091,NA,NA,NA,10
"11",0,0,"230717",10840.091,NA,NA,NA,11
"12",0,0,"230717",10841.091,NA,NA,NA,12
"13",0,0,"230717",10842.091,NA,NA,NA,13
"14",0,0,"230717",10843.091,NA,NA,NA,14
"15",0,0,"230717",10844.091,NA,NA,NA,15
"16",0,0,"230717",10845.091,NA,NA,NA,16
"17",0,0,"230717",10846.091,NA,NA,NA,17
"18",0,0,"230717",10847.091,NA,NA,NA,18
"19",0,0,"230717",10848.091,NA,NA,NA,19
"20",0,0,"230717",10849.091,NA,NA,NA,20
"21",0,0,"230717",10850.091,NA,NA,NA,21
"22",0,0,"230717",10851.091,NA,NA,NA,22
"23",0,0,"230717",10852.091,NA,NA,NA,23
"24",0,0,"230717",10853.091,NA,NA,NA,24
"25",0,0,"230717",10854.091,NA,NA,NA,25
"26",0,0,"230717",10855.091,NA,NA,NA,26
"27",0,0,"230717",10856.091,NA,NA,NA,27
"28",0,0,"230717",10857.091,NA,NA,NA,28
"29",0,0,"230717",10858.091,NA,NA,NA,29
"30",0,0,"230717",10859.091,NA,NA,NA,30
"31",0,0,"230717",10900.091,NA,NA,NA,31
"32",0,0,"230717",10901.091,NA,NA,NA,32
"33",0,0,"230717",10902.091,NA,NA,NA,33
"34",0,0,"230717",10903.091,NA,NA,NA,34
"35",0,0,"230717",10904.091,NA,NA,NA,35
"36",0,0,"230717",10905.091,NA,NA,NA,36
"37",0,0,"230717",10906.088,NA,NA,NA,37
"38",0,0,"230717",10907.088,NA,NA,NA,38
"39",0,0,"230717",10908.088,NA,NA,NA,39
"40",0,0,"230717",10909.088,NA,NA,NA,40
"41",0,0,"230717",10910.088,NA,NA,NA,41
"42",0,0,"230717",10911.088,NA,NA,NA,42
"43",0,0,"230717",10912.088,NA,NA,NA,43
"44",0,0,"230717",10913.309,NA,NA,NA,44
"45",0,0,"230717",10914.309,NA,NA,NA,45
"46",0,0,"230717",10915.309,NA,NA,NA,46
"47",0,0,"230717",10916.309,NA,NA,NA,47
"48",0,0,"230717",10917.309,NA,NA,NA,48
"49",0,0,"230717",10918.088,NA,NA,NA,49
"50",0,0,"230717",10919.088,NA,NA,NA,50
"51",0,0,"230717",10920.088,NA,NA,NA,51
"52",0,0,"230717",10921.088,NA,NA,NA,52
"53",0,0,"230717",10922.088,NA,NA,NA,53
"54",0,0,"230717",10923.088,NA,NA,NA,54
"55",0,0,"230717",10924.088,NA,NA,NA,55
"56",0,0,"230717",10925.293,NA,NA,NA,56
"57",0,0,"230717",10926.293,NA,NA,NA,57
"58",0,0,"230717",10927.293,NA,NA,NA,58
"59",0,0,"230717",10928.293,NA,NA,NA,59
"60",0,0,"230717",10929.293,NA,NA,NA,60
"61",0,0,"230717",10930.087,NA,NA,NA,61
"62",0,0,"230717",10931.307,NA,NA,NA,62
"63",0,0,"230717",10932.307,NA,NA,NA,63
"64",0,0,"230717",10933.307,NA,NA,NA,64
"65",0,0,"230717",10934.307,NA,NA,NA,65
"66",0,0,"230717",10935.307,NA,NA,NA,66
"67",0,0,"230717",10936.087,NA,NA,NA,67
"68",0,0,"230717",10937.307,NA,NA,NA,68
"69",0,0,"230717",10938.307,NA,NA,NA,69
"70",0,0,"230717",10939.307,NA,NA,NA,70
"71",0,0,"230717",10940.307,NA,NA,NA,71
"72",0,0,"230717",10941.307,NA,NA,NA,72
"73",0,0,"230717",10942.087,NA,NA,NA,73
"74",0,0,"230717",10943.307,NA,NA,NA,74
"75",0,0,"230717",10944.307,NA,NA,NA,75
"76",0,0,"230717",10945.307,NA,NA,NA,76
"77",0,0,"230717",10946.307,NA,NA,NA,77
"78",0,0,"230717",10947.307,NA,NA,NA,78
"79",0,0,"230717",10948.1,NA,NA,NA,79
"80",0,0,"230717",10949.1,NA,NA,NA,80
"81",0,0,"230717",10950.1,NA,NA,NA,81
"82",0,0,"230717",10951.1,NA,NA,NA,82
"83",0,0,"230717",10952.1,NA,NA,NA,83
"84",0,0,"230717",10953.1,NA,NA,NA,84
"85",0,0,"230717",10954.1,NA,NA,NA,85
"86",0,0,"230717",10955.1,NA,NA,NA,86
"87",0,0,"230717",10956.1,NA,NA,NA,87
"88",0,0,"230717",10957.1,NA,NA,NA,88
"89",0,0,"230717",10958.1,NA,NA,NA,89
"90",0,0,"230717",10959.1,NA,NA,NA,90
"91",0,0,"230717",11000.1,NA,NA,2017-07-23 11:00:00,91
"92",0,0,"230717",11001.1,NA,NA,2017-07-23 11:00:01,92
"93",0,0,"230717",11002.1,NA,NA,2017-07-23 11:00:02,93
"94",0,0,"230717",11003.1,NA,NA,2017-07-23 11:00:03,94
"95",0,0,"230717",11004.1,NA,NA,2017-07-23 11:00:04,95
"96",0,0,"230717",11005.1,NA,NA,2017-07-23 11:00:05,96
"97",0,0,"230717",11006.1,NA,NA,2017-07-23 11:00:06,97
"98",0,0,"230717",11007.1,NA,NA,2017-07-23 11:00:07,98
"99",0,0,"230717",11008.1,NA,NA,2017-07-23 11:00:08,99
"100",0,0,"230717",11009.1,NA,NA,2017-07-23 11:00:09,100
"101",0,0,"230717",11010.1,NA,NA,2017-07-23 11:01:00,101
"102",0,0,"230717",11011.1,NA,NA,2017-07-23 11:01:01,102
"103",0,0,"230717",11012.1,NA,NA,2017-07-23 11:01:02,103
"104",0,0,"230717",11013.1,NA,NA,2017-07-23 11:01:03,104
"105",0,0,"230717",11014.1,NA,NA,2017-07-23 11:01:04,105
"106",0,0,"230717",11015.1,NA,NA,2017-07-23 11:01:05,106
"107",0,0,"230717",11016.1,NA,NA,2017-07-23 11:01:06,107
"108",0,0,"230717",11017.1,NA,NA,2017-07-23 11:01:07,108
"109",0,0,"230717",11018.1,NA,NA,2017-07-23 11:01:08,109
"110",0,0,"230717",11019.1,NA,NA,2017-07-23 11:01:09,110
"111",0,0,"230717",11020.1,NA,NA,2017-07-23 11:02:00,111
"112",0,0,"230717",11021.1,NA,NA,2017-07-23 11:02:01,112
"113",0,0,"230717",11022.1,NA,NA,2017-07-23 11:02:02,113
"114",0,0,"230717",11023.1,NA,NA,2017-07-23 11:02:03,114
"115",0,0,"230717",11024.1,NA,NA,2017-07-23 11:02:04,115
"116",0,0,"230717",11025.1,NA,NA,2017-07-23 11:02:05,116
"117",0,0,"230717",11026.1,NA,NA,2017-07-23 11:02:06,117
"118",0,0,"230717",11027.1,NA,NA,2017-07-23 11:02:07,118
"119",0,0,"230717",11028.1,NA,NA,2017-07-23 11:02:08,119
"120",0,0,"230717",11029.1,NA,NA,2017-07-23 11:02:09,120
"121",0,0,"230717",11030.087,NA,NA,2017-07-23 11:03:00,121
"122",0,0,"230717",11031.307,NA,NA,2017-07-23 11:03:01,122
"123",0,0,"230717",11032.307,NA,NA,2017-07-23 11:03:02,123
"124",0,0,"230717",11033.307,NA,NA,2017-07-23 11:03:03,124
"125",0,0,"230717",11034.307,NA,NA,2017-07-23 11:03:04,125
"126",0,0,"230717",11035.307,NA,NA,2017-07-23 11:03:05,126
"127",0,0,"230717",11036.103,NA,NA,2017-07-23 11:03:06,127
"128",0,0,"230717",11037.103,NA,NA,2017-07-23 11:03:07,128
"129",0,0,"230717",11038.103,NA,NA,2017-07-23 11:03:08,129
"130",0,0,"230717",11039.103,NA,NA,2017-07-23 11:03:09,130
"131",0,0,"230717",11040.103,NA,NA,2017-07-23 11:04:00,131
"132",0,0,"230717",11041.103,NA,NA,2017-07-23 11:04:01,132
"133",0,0,"230717",11042.103,NA,NA,2017-07-23 11:04:02,133
"134",0,0,"230717",11043.103,NA,NA,2017-07-23 11:04:03,134
"135",0,0,"230717",11044.103,NA,NA,2017-07-23 11:04:04,135
"136",0,0,"230717",11045.103,NA,NA,2017-07-23 11:04:05,136
"137",0,0,"230717",11046.103,NA,NA,2017-07-23 11:04:06,137
"138",0,0,"230717",11047.103,NA,NA,2017-07-23 11:04:07,138
"139",0,0,"230717",11048.103,NA,NA,2017-07-23 11:04:08,139
"140",0,0,"230717",11049.103,NA,NA,2017-07-23 11:04:09,140
"141",0,0,"230717",11050.103,NA,NA,2017-07-23 11:05:00,141
"142",0,0,"230717",11051.103,NA,NA,2017-07-23 11:05:01,142
"143",0,0,"230717",11052.103,NA,NA,2017-07-23 11:05:02,143
"144",0,0,"230717",11053.103,NA,NA,2017-07-23 11:05:03,144
"145",0,0,"230717",11054.09,NA,NA,2017-07-23 11:05:04,145
"146",0,0,"230717",11055.31,NA,NA,2017-07-23 11:05:05,146
"147",0,0,"230717",11056.31,NA,NA,2017-07-23 11:05:06,147
"148",0,0,"230717",11057.31,NA,NA,2017-07-23 11:05:07,148
"149",0,0,"230717",11058.31,NA,NA,2017-07-23 11:05:08,149
"150",0,0,"230717",11059.31,NA,NA,2017-07-23 11:05:09,150
"151",0,0,"230717",11100.09,NA,NA,2017-07-23 11:10:00,151
"152",0,0,"230717",11101.31,NA,NA,2017-07-23 11:10:01,152
"153",0,0,"230717",11102.31,NA,NA,2017-07-23 11:10:02,153
"154",0,0,"230717",11103.31,NA,NA,2017-07-23 11:10:03,154
"155",0,0,"230717",11104.31,NA,NA,2017-07-23 11:10:04,155
"156",0,0,"230717",11105.31,NA,NA,2017-07-23 11:10:05,156
"157",0,0,"230717",11106.086,NA,NA,2017-07-23 11:10:06,157
"158",0,0,"230717",11107.305,NA,NA,2017-07-23 11:10:07,158
