"","USRear","USLeft","USRight","LidarLeft","LidarRight","CO","P10","P25","SO","O3","NO","timestamp","sensor","DateN","TimeN","Time","sequenceTime"
"1",193.04,327.66,48.26,1628,57,NA,NA,NA,NA,NA,NA,230717010830.087,"proximity","230717","010830",2017-07-23 01:08:30,1
"2",180.34,330.2,45.72,1643,54,NA,NA,NA,NA,NA,NA,230717010830.087,"proximity","230717","010830",2017-07-23 01:08:30,2
"3",172.72,185.42,45.72,1619,56,NA,NA,NA,NA,NA,NA,230717010830.087,"proximity","230717","010830",2017-07-23 01:08:30,3
"4",170.18,330.2,45.72,1626,56,791,23.1,20.7,1467,348,686,230717010831.306,"proximity","230717","010831",2017-07-23 01:08:31,4
"5",165.1,330.2,45.72,1633,53,NA,NA,NA,NA,NA,NA,230717010831.306,"proximity","230717","010831",2017-07-23 01:08:31,5
"6",162.56,330.2,43.18,1623,52,NA,NA,NA,NA,NA,NA,230717010831.306,"proximity","230717","010831",2017-07-23 01:08:31,6
"7",152.4,139.7,43.18,1235,51,NA,NA,NA,NA,NA,NA,230717010832.306,"proximity","230717","010832",2017-07-23 01:08:32,7
"8",147.32,327.66,43.18,1,51,782,23.2,20.7,1464,9,657,230717010832.306,"proximity","230717","010832",2017-07-23 01:08:32,8
"9",106.68,327.66,43.18,1,52,NA,NA,NA,NA,NA,NA,230717010832.306,"proximity","230717","010832",2017-07-23 01:08:32,9
"10",142.24,327.66,43.18,1627,50,NA,NA,NA,NA,NA,NA,230717010832.306,"proximity","230717","010832",2017-07-23 01:08:32,10
"11",134.62,269.24,45.72,1631,50,NA,NA,NA,NA,NA,NA,230717010833.306,"proximity","230717","010833",2017-07-23 01:08:33,11
"12",132.08,68.58,40.64,1634,52,781,23.2,20.7,1222,328,686,230717010833.306,"proximity","230717","010833",2017-07-23 01:08:33,12
"13",132.08,330.2,40.64,1638,53,NA,NA,NA,NA,NA,NA,230717010833.306,"proximity","230717","010833",2017-07-23 01:08:33,13
"14",121.92,330.2,40.64,1,56,NA,NA,NA,NA,NA,NA,230717010833.306,"proximity","230717","010833",2017-07-23 01:08:33,14
"15",119.38,261.62,43.18,1,54,NA,NA,NA,NA,NA,NA,230717010834.306,"proximity","230717","010834",2017-07-23 01:08:34,15
"16",116.84,96.52,38.1,1,51,792,23.3,20.7,1462,55,661,230717010834.306,"proximity","230717","010834",2017-07-23 01:08:34,16
"17",111.76,332.74,40.64,1,55,NA,NA,NA,NA,NA,NA,230717010834.306,"proximity","230717","010834",2017-07-23 01:08:34,17
"18",106.68,330.2,40.64,1,52,NA,NA,NA,NA,NA,NA,230717010835.306,"proximity","230717","010835",2017-07-23 01:08:35,18
"19",139.7,332.74,43.18,1,49,NA,NA,NA,NA,NA,NA,230717010835.306,"proximity","230717","010835",2017-07-23 01:08:35,19
"20",139.7,302.26,40.64,1,53,661,23.5,20.7,0,1479,1021,230717010835.306,"proximity","230717","010835",2017-07-23 01:08:35,20
"21",127,142.24,40.64,1,52,NA,NA,NA,NA,NA,NA,230717010836.091,"proximity","230717","010836",2017-07-23 01:08:36,21
"22",632.46,332.74,40.64,1,47,NA,NA,NA,NA,NA,NA,230717010836.091,"proximity","230717","010836",2017-07-23 01:08:36,22
"23",624.84,330.2,38.1,1,48,NA,NA,NA,NA,NA,NA,230717010836.091,"proximity","230717","010836",2017-07-23 01:08:36,23
"24",482.6,241.3,38.1,1,51,782,23.5,20.6,1432,54,653,230717010836.091,"proximity","230717","010836",2017-07-23 01:08:36,24
